eventType	gameid	time	roundNum	obj
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424655189	1	{"type":"Utterance","sender":"listener","contents":"hello","time":1526424655189}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424657965	1	{"type":"Utterance","sender":"listener","contents":"are you there?","time":1526424657965}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424714456	1	{"type":"Utterance","sender":"speaker","contents":"yes took awhile to get partner","time":1526424714456}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424754754	1	{"type":"Utterance","sender":"speaker","contents":"alright so this one has the more neon green box 2nd row first square","time":1526424754754}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424774294	2	{"type":"Utterance","sender":"speaker","contents":"top middle grey","time":1526424774294}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424825686	3	{"type":"Utterance","sender":"speaker","contents":"middle row dark purple olive magenta ","time":1526424825686}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424848649	4	{"type":"Utterance","sender":"speaker","contents":"middle left bright green","time":1526424848649}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424876969	5	{"type":"Utterance","sender":"speaker","contents":"middle square purple","time":1526424876969}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424897783	6	{"type":"Utterance","sender":"speaker","contents":"bottom middle dark green","time":1526424897783}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424997558	7	{"type":"Utterance","sender":"speaker","contents":"middle square the brighter purple one, with redish purple on the left","time":1526424997558}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425013310	8	{"type":"Utterance","sender":"speaker","contents":"top right bright green","time":1526425013310}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425062113	9	{"type":"Utterance","sender":"speaker","contents":"bottom left red/purple bottom right mustard","time":1526425062113}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425106680	10	{"type":"Utterance","sender":"speaker","contents":"bottom right reddish","time":1526425106680}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425112416	10	{"type":"Utterance","sender":"speaker","contents":"bottom left* sorry","time":1526425112416}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425123710	10	{"type":"Utterance","sender":"listener","contents":"lol was gonna say.~~~ got it","time":1526425123710}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425161482	11	{"type":"Utterance","sender":"speaker","contents":"not the one with red. of the two others it is the one with the more purple 1st square in 2nd row","time":1526425161482}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425203824	12	{"type":"Utterance","sender":"speaker","contents":"top left red, btw its cool to just describe one square so its less typing","time":1526425203824}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425232400	13	{"type":"Utterance","sender":"listener","contents":"unless the grids are exaclty the same lol","time":1526425232400}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425241310	13	{"type":"Utterance","sender":"speaker","contents":"bottom middle bright red","time":1526425241310}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425265600	14	{"type":"Utterance","sender":"speaker","contents":"bottom middle bright green","time":1526425265600}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425308692	15	{"type":"Utterance","sender":"speaker","contents":"bottom left is the dull orange/red color not the bright red one","time":1526425308692}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425330488	16	{"type":"Utterance","sender":"speaker","contents":"top right brighter orange","time":1526425330488}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425373918	17	{"type":"Utterance","sender":"speaker","contents":"red top right","time":1526425373918}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425407801	18	{"type":"Utterance","sender":"speaker","contents":"top left yellow","time":1526425407801}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425415681	18	{"type":"Utterance","sender":"speaker","contents":"bright yellow","time":1526425415681}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425442406	19	{"type":"Utterance","sender":"speaker","contents":"blue bottom center","time":1526425442406}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425470129	20	{"type":"Utterance","sender":"speaker","contents":"the center is the darkest color","time":1526425470129}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425473274	20	{"type":"Utterance","sender":"speaker","contents":"darkest purple","time":1526425473274}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425508049	21	{"type":"Utterance","sender":"listener","contents":"no worries if we miss some, i just gotta finish this in 20 minutes lol","time":1526425508049}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425517009	21	{"type":"Utterance","sender":"speaker","contents":"bottom right not blue or red ","time":1526425517009}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425521788	21	{"type":"Utterance","sender":"speaker","contents":"same here. lol","time":1526425521788}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425543331	22	{"type":"Utterance","sender":"speaker","contents":"bottom right orange","time":1526425543331}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425553457	23	{"type":"Utterance","sender":"listener","contents":"you have 20 mintus left too?","time":1526425553457}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425561490	23	{"type":"Utterance","sender":"speaker","contents":"top left yellow","time":1526425561490}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425562766	23	{"type":"Utterance","sender":"speaker","contents":"yes","time":1526425562766}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425578218	24	{"type":"Utterance","sender":"speaker","contents":"mid right purple","time":1526425578218}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425597847	25	{"type":"Utterance","sender":"speaker","contents":"bottom right purple","time":1526425597847}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425621808	26	{"type":"Utterance","sender":"speaker","contents":"mid right NOT blue or red","time":1526425621808}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425645579	27	{"type":"Utterance","sender":"speaker","contents":"mid right red","time":1526425645579}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425664779	28	{"type":"Utterance","sender":"speaker","contents":"center blue","time":1526425664779}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425690569	29	{"type":"Utterance","sender":"speaker","contents":"mid right maroon not bright red or orange","time":1526425690569}
utterance	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425722315	30	{"type":"Utterance","sender":"speaker","contents":"center bright red","time":1526425722315}
