eventType	gameid	time	roundNum	obj
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495147957	1	{"type":"Utterance","sender":"speaker","contents":"the middle block is red","time":1526495147957}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495183729	2	{"type":"Utterance","sender":"speaker","contents":"lime green mid right","time":1526495183729}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495207422	2	{"type":"Utterance","sender":"listener","contents":"the brightest of the greens? or the shade inbetween","time":1526495207422}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495213255	2	{"type":"Utterance","sender":"speaker","contents":"neon green","time":1526495213255}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495229370	3	{"type":"Utterance","sender":"speaker","contents":"all 3 blocks are green on the right","time":1526495229370}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495249581	4	{"type":"Utterance","sender":"speaker","contents":"darker blue in the center","time":1526495249581}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495271575	4	{"type":"Utterance","sender":"listener","contents":"the one with the purple in the top left or pinkish","time":1526495271575}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495300159	4	{"type":"Utterance","sender":"speaker","contents":"no, its the one with the yellow block to the left","time":1526495300159}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495335702	5	{"type":"Utterance","sender":"speaker","contents":"green, pink, almost brown grey is the top row","time":1526495335702}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495371649	6	{"type":"Utterance","sender":"speaker","contents":"gray top left","time":1526495371649}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495387684	7	{"type":"Utterance","sender":"speaker","contents":"cyan left middle","time":1526495387684}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495421128	8	{"type":"Utterance","sender":"speaker","contents":"royal blue top left","time":1526495421128}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495433860	9	{"type":"Utterance","sender":"speaker","contents":"bight neon green top middle","time":1526495433860}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495437728	9	{"type":"Utterance","sender":"speaker","contents":"bright*","time":1526495437728}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495481116	10	{"type":"Utterance","sender":"speaker","contents":"blue bottom middle","time":1526495481116}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495494925	11	{"type":"Utterance","sender":"speaker","contents":"green middle","time":1526495494925}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495530540	12	{"type":"Utterance","sender":"speaker","contents":"lighter purple bottom middle","time":1526495530540}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495552168	13	{"type":"Utterance","sender":"speaker","contents":"lime green bottom left","time":1526495552168}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495577785	14	{"type":"Utterance","sender":"speaker","contents":"bottom right neon green","time":1526495577785}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495595511	15	{"type":"Utterance","sender":"speaker","contents":"top left brightish pink","time":1526495595511}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495624787	16	{"type":"Utterance","sender":"speaker","contents":"gray top left","time":1526495624787}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495648988	17	{"type":"Utterance","sender":"speaker","contents":"top middle purple","time":1526495648988}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495673422	18	{"type":"Utterance","sender":"speaker","contents":"blue bottom middle","time":1526495673422}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495683120	19	{"type":"Utterance","sender":"speaker","contents":"orange top left","time":1526495683120}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495728513	20	{"type":"Utterance","sender":"speaker","contents":"blue bottom middle","time":1526495728513}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495761661	21	{"type":"Utterance","sender":"speaker","contents":"brightest purple top middle","time":1526495761661}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495817565	22	{"type":"Utterance","sender":"speaker","contents":"ok, this is going to be impossible since they're all the same","time":1526495817565}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495824645	22	{"type":"Utterance","sender":"listener","contents":"yeah, what i was thinking","time":1526495824645}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495834271	22	{"type":"Utterance","sender":"listener","contents":"clicking one at random","time":1526495834271}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495846574	23	{"type":"Utterance","sender":"listener","contents":"wow, you got that one!","time":1526495846574}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495850872	23	{"type":"Utterance","sender":"speaker","contents":"bottom left yellow","time":1526495850872}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495876057	24	{"type":"Utterance","sender":"speaker","contents":"pinkish bottom left","time":1526495876057}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495886826	25	{"type":"Utterance","sender":"speaker","contents":"middle green","time":1526495886826}
utterance	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495919506	26	{"type":"Utterance","sender":"speaker","contents":"orange center","time":1526495919506}
