eventType	gameid	time	roundNum	obj
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505639853	1	{"type":"Utterance","sender":"speaker","contents":"sorery square has two blues in middle on outside","time":1526505639853}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505671089	2	{"type":"Utterance","sender":"speaker","contents":"square has two red","time":1526505671089}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505714939	3	{"type":"Utterance","sender":"speaker","contents":"blue browen anmd green left to right bopttom","time":1526505714939}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505751227	4	{"type":"Utterance","sender":"speaker","contents":"has green in the upper left corner","time":1526505751227}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505844661	5	{"type":"Utterance","sender":"speaker","contents":"berigther pourple in bt, corner","time":1526505844661}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505896394	6	{"type":"Utterance","sender":"speaker","contents":"the right center square is a the darker faded blue","time":1526505896394}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505954485	7	{"type":"Utterance","sender":"speaker","contents":"bright red tright side top rowe","time":1526505954485}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505984094	8	{"type":"Utterance","sender":"speaker","contents":"green/yellow center","time":1526505984094}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506018111	9	{"type":"Utterance","sender":"speaker","contents":"grey btm right corner","time":1526506018111}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506050595	10	{"type":"Utterance","sender":"speaker","contents":"bright pink/purple right middle ","time":1526506050595}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506135000	11	{"type":"Utterance","sender":"speaker","contents":"top to bottom middle row green pink fsaded purple","time":1526506135000}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506184191	12	{"type":"Utterance","sender":"speaker","contents":"the bottom left is the brighter of the two blues","time":1526506184191}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506240318	13	{"type":"Utterance","sender":"speaker","contents":"btm right yellow brown","time":1526506240318}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506254486	13	{"type":"Utterance","sender":"speaker","contents":"btoght","time":1526506254486}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506274458	14	{"type":"Utterance","sender":"speaker","contents":"bottom right is bright purple ","time":1526506274458}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506277342	14	{"type":"Utterance","sender":"listener","contents":"slower thanm chsairsd drsat","time":1526506277342}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506289471	14	{"type":"Utterance","sender":"listener","contents":"not magenta right","time":1526506289471}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506296089	14	{"type":"Utterance","sender":"speaker","contents":"uh","time":1526506296089}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506303733	14	{"type":"Utterance","sender":"listener","contents":"not pinkish","time":1526506303733}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506309999	14	{"type":"Utterance","sender":"speaker","contents":"no it's the one that's more pinkish","time":1526506309999}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506316470	14	{"type":"Utterance","sender":"speaker","contents":"the top right is also like, purple and not blue","time":1526506316470}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506349888	15	{"type":"Utterance","sender":"speaker","contents":"top middle bright bl;ue","time":1526506349888}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506396132	16	{"type":"Utterance","sender":"speaker","contents":"the bottom middle is greenish and the bottom right is brownish","time":1526506396132}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506426417	17	{"type":"Utterance","sender":"speaker","contents":"btm row middle is blue","time":1526506426417}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506465518	18	{"type":"Utterance","sender":"speaker","contents":"middle is a bright cyan","time":1526506465518}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506480971	18	{"type":"Utterance","sender":"listener","contents":"pink","time":1526506480971}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506489448	18	{"type":"Utterance","sender":"speaker","contents":"no, light blue","time":1526506489448}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506492584	18	{"type":"Utterance","sender":"speaker","contents":"the brighter of the two","time":1526506492584}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506523871	19	{"type":"Utterance","sender":"speaker","contents":"yellow brown in middle","time":1526506523871}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506542725	20	{"type":"Utterance","sender":"speaker","contents":"bottom left is blue","time":1526506542725}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506578249	21	{"type":"Utterance","sender":"speaker","contents":"top right is light blue","time":1526506578249}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506624939	22	{"type":"Utterance","sender":"speaker","contents":"top right is a faded green ","time":1526506624939}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506699749	23	{"type":"Utterance","sender":"speaker","contents":"two pea gerweens top and middle rows left side","time":1526506699749}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506772555	24	{"type":"Utterance","sender":"speaker","contents":"the middle isn't is a faded green, no yellow in it","time":1526506772555}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506791920	25	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1526506791920}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506807519	25	{"type":"Utterance","sender":"speaker","contents":"btm left bright green","time":1526506807519}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506808632	25	{"type":"Utterance","sender":"listener","contents":"no worries","time":1526506808632}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506830794	26	{"type":"Utterance","sender":"speaker","contents":"bottom middle bright blue/green","time":1526506830794}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506921593	27	{"type":"Utterance","sender":"speaker","contents":"middle row middl;e one and rioght one look almost same color green  middle brighter","time":1526506921593}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506927783	27	{"type":"Utterance","sender":"speaker","contents":"middle brighter","time":1526506927783}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506953667	27	{"type":"Utterance","sender":"speaker","contents":"'green","time":1526506953667}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506967647	28	{"type":"Utterance","sender":"listener","contents":"rightest","time":1526506967647}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506973139	28	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1526506973139}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506982605	28	{"type":"Utterance","sender":"listener","contents":"no worries","time":1526506982605}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506984068	28	{"type":"Utterance","sender":"speaker","contents":"middle top is yellow","time":1526506984068}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507014934	29	{"type":"Utterance","sender":"speaker","contents":"top middle brightest green","time":1526507014934}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507041233	30	{"type":"Utterance","sender":"listener","contents":"too hard","time":1526507041233}
utterance	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507051311	30	{"type":"Utterance","sender":"speaker","contents":"LMAO ","time":1526507051311}
