eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144090045	1	{"lClicked":0,"mouseX":112,"mouseY":132,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144116687	2	{"lClicked":1,"mouseX":469,"mouseY":139,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144146544	3	{"lClicked":1,"mouseX":445,"mouseY":142,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144167151	4	{"lClicked":2,"mouseX":703,"mouseY":101,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144193431	5	{"lClicked":0,"mouseX":147,"mouseY":142,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144275942	6	{"lClicked":2,"mouseX":709,"mouseY":164,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144338372	7	{"lClicked":1,"mouseX":457,"mouseY":113,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144366473	8	{"lClicked":0,"mouseX":173,"mouseY":127,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144385825	9	{"lClicked":2,"mouseX":770,"mouseY":159,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144453861	10	{"lClicked":0,"mouseX":119,"mouseY":110,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144483050	11	{"lClicked":2,"mouseX":721,"mouseY":138,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144499789	12	{"lClicked":0,"mouseX":152,"mouseY":124,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144540770	13	{"lClicked":0,"mouseX":102,"mouseY":152,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144563561	14	{"lClicked":2,"mouseX":845,"mouseY":216,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144583673	15	{"lClicked":0,"mouseX":122,"mouseY":128,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144598298	16	{"lClicked":2,"mouseX":763,"mouseY":178,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144613968	17	{"lClicked":0,"mouseX":142,"mouseY":117,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144634600	18	{"lClicked":1,"mouseX":402,"mouseY":89,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144658647	19	{"lClicked":1,"mouseX":455,"mouseY":114,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144674542	20	{"lClicked":1,"mouseX":463,"mouseY":152,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144744917	21	{"lClicked":2,"mouseX":754,"mouseY":142,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144780794	22	{"lClicked":1,"mouseX":439,"mouseY":151,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	4147-9d9582f2-28d0-431f-b6ba-35fd1be76619	1528144796173	23	{"lClicked":0,"mouseX":139,"mouseY":139,"condition":{"name":"FAR","numDiffs":6}}
