eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144183748	1	{"lClicked":0,"mouseX":170,"mouseY":94,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144246151	2	{"lClicked":2,"mouseX":707,"mouseY":149,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144314032	3	{"lClicked":2,"mouseX":739,"mouseY":142,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144424338	4	{"lClicked":1,"mouseX":498,"mouseY":162,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144457240	5	{"lClicked":2,"mouseX":696,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144482132	6	{"lClicked":1,"mouseX":478,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144523456	7	{"lClicked":1,"mouseX":410,"mouseY":215,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144552342	8	{"lClicked":0,"mouseX":206,"mouseY":137,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144597596	9	{"lClicked":1,"mouseX":448,"mouseY":122,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144619144	10	{"lClicked":0,"mouseX":188,"mouseY":194,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144698569	11	{"lClicked":1,"mouseX":418,"mouseY":112,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144722261	12	{"lClicked":0,"mouseX":151,"mouseY":122,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144779154	13	{"lClicked":2,"mouseX":780,"mouseY":107,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144834537	14	{"lClicked":1,"mouseX":464,"mouseY":86,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144879381	15	{"lClicked":2,"mouseX":729,"mouseY":129,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144897174	16	{"lClicked":2,"mouseX":752,"mouseY":140,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144932692	17	{"lClicked":1,"mouseX":476,"mouseY":126,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9059-918d13d3-8dc3-4197-a59c-b4bcf80ee3b9	1528144967345	18	{"lClicked":0,"mouseX":165,"mouseY":184,"condition":{"name":"FAR","numDiffs":2}}
