eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144411790	1	{"lClicked":2,"mouseX":719,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144560566	2	{"lClicked":1,"mouseX":454,"mouseY":189,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144610183	3	{"lClicked":2,"mouseX":822,"mouseY":147,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144675376	4	{"lClicked":0,"mouseX":149,"mouseY":150,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144754660	5	{"lClicked":0,"mouseX":160,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144781206	6	{"lClicked":1,"mouseX":501,"mouseY":195,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144822599	7	{"lClicked":2,"mouseX":779,"mouseY":148,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144864476	8	{"lClicked":1,"mouseX":491,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144896215	9	{"lClicked":2,"mouseX":704,"mouseY":106,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528144946980	10	{"lClicked":1,"mouseX":464,"mouseY":129,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145100091	11	{"lClicked":1,"mouseX":450,"mouseY":210,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145129396	12	{"lClicked":1,"mouseX":478,"mouseY":144,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145191547	13	{"lClicked":2,"mouseX":682,"mouseY":113,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145277691	14	{"lClicked":2,"mouseX":791,"mouseY":129,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145331684	15	{"lClicked":1,"mouseX":422,"mouseY":113,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145394544	16	{"lClicked":2,"mouseX":764,"mouseY":132,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145523921	17	{"lClicked":2,"mouseX":739,"mouseY":95,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145575836	18	{"lClicked":0,"mouseX":194,"mouseY":181,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145637415	19	{"lClicked":0,"mouseX":192,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145740803	20	{"lClicked":0,"mouseX":159,"mouseY":142,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145769032	21	{"lClicked":2,"mouseX":725,"mouseY":130,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145814669	22	{"lClicked":0,"mouseX":136,"mouseY":151,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528145949337	23	{"lClicked":0,"mouseX":153,"mouseY":115,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528146077029	24	{"lClicked":0,"mouseX":116,"mouseY":127,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528146136353	25	{"lClicked":2,"mouseX":678,"mouseY":112,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528146156905	26	{"lClicked":1,"mouseX":474,"mouseY":163,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528146196312	27	{"lClicked":2,"mouseX":731,"mouseY":150,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	9028-13f162e4-c741-48c7-a43f-bef11c54d69e	1528146267923	28	{"lClicked":2,"mouseX":824,"mouseY":97,"condition":{"name":"CLOSE","numDiffs":6}}
