eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528145786728	1	{"lClicked":2,"mouseX":720,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528145839874	2	{"lClicked":2,"mouseX":757,"mouseY":155,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528145898314	3	{"lClicked":0,"mouseX":95,"mouseY":124,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528145942185	4	{"lClicked":0,"mouseX":158,"mouseY":149,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146052519	5	{"lClicked":0,"mouseX":212,"mouseY":155,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146091103	6	{"lClicked":1,"mouseX":478,"mouseY":142,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146218274	7	{"lClicked":1,"mouseX":540,"mouseY":151,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146267448	8	{"lClicked":0,"mouseX":147,"mouseY":123,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146299150	9	{"lClicked":2,"mouseX":821,"mouseY":156,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146397469	10	{"lClicked":0,"mouseX":134,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146510190	11	{"lClicked":0,"mouseX":195,"mouseY":75,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146548540	12	{"lClicked":0,"mouseX":157,"mouseY":82,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146581911	13	{"lClicked":1,"mouseX":373,"mouseY":191,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146607313	14	{"lClicked":1,"mouseX":426,"mouseY":145,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146680399	15	{"lClicked":1,"mouseX":555,"mouseY":83,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146714680	16	{"lClicked":2,"mouseX":812,"mouseY":147,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146743311	17	{"lClicked":1,"mouseX":441,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146766994	18	{"lClicked":1,"mouseX":447,"mouseY":137,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146882174	19	{"lClicked":1,"mouseX":501,"mouseY":120,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146946972	20	{"lClicked":0,"mouseX":198,"mouseY":187,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528146998811	21	{"lClicked":2,"mouseX":714,"mouseY":94,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147046713	22	{"lClicked":2,"mouseX":723,"mouseY":149,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147088178	23	{"lClicked":1,"mouseX":545,"mouseY":84,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147130572	24	{"lClicked":0,"mouseX":187,"mouseY":156,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147162432	25	{"lClicked":2,"mouseX":810,"mouseY":167,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147224913	26	{"lClicked":0,"mouseX":176,"mouseY":179,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147288679	27	{"lClicked":2,"mouseX":822,"mouseY":213,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147325457	28	{"lClicked":2,"mouseX":738,"mouseY":113,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147373472	29	{"lClicked":0,"mouseX":190,"mouseY":68,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147402754	30	{"lClicked":2,"mouseX":772,"mouseY":126,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147451506	31	{"lClicked":0,"mouseX":179,"mouseY":75,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147569870	32	{"lClicked":1,"mouseX":444,"mouseY":163,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147647303	33	{"lClicked":1,"mouseX":365,"mouseY":127,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147727737	34	{"lClicked":1,"mouseX":443,"mouseY":120,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147834743	35	{"lClicked":0,"mouseX":163,"mouseY":217,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147857123	36	{"lClicked":1,"mouseX":466,"mouseY":170,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528147965384	37	{"lClicked":1,"mouseX":532,"mouseY":55,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148003725	38	{"lClicked":2,"mouseX":822,"mouseY":193,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148031090	39	{"lClicked":1,"mouseX":516,"mouseY":143,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148164150	40	{"lClicked":0,"mouseX":150,"mouseY":80,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148197559	41	{"lClicked":2,"mouseX":749,"mouseY":201,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148225705	42	{"lClicked":2,"mouseX":739,"mouseY":162,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148259929	43	{"lClicked":1,"mouseX":510,"mouseY":58,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1813-732cf2c6-d39b-4f8a-a5fe-c9a3c90d62e6	1528148294915	44	{"lClicked":2,"mouseX":687,"mouseY":146,"condition":{"name":"FAR","numDiffs":6}}
