eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147147512	1	{"lClicked":0,"mouseX":178,"mouseY":211,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147196886	2	{"lClicked":0,"mouseX":192,"mouseY":148,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147224717	3	{"lClicked":2,"mouseX":775,"mouseY":154,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147260704	4	{"lClicked":0,"mouseX":131,"mouseY":179,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147280463	5	{"lClicked":0,"mouseX":206,"mouseY":168,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147326164	6	{"lClicked":2,"mouseX":743,"mouseY":150,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147347398	7	{"lClicked":0,"mouseX":159,"mouseY":197,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147367804	8	{"lClicked":2,"mouseX":763,"mouseY":98,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147382535	9	{"lClicked":2,"mouseX":677,"mouseY":200,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147413971	10	{"lClicked":2,"mouseX":727,"mouseY":173,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147464514	11	{"lClicked":2,"mouseX":668,"mouseY":192,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147504563	12	{"lClicked":0,"mouseX":141,"mouseY":119,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147526061	13	{"lClicked":0,"mouseX":224,"mouseY":183,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147572518	14	{"lClicked":2,"mouseX":681,"mouseY":126,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147586492	15	{"lClicked":0,"mouseX":126,"mouseY":196,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147603495	16	{"lClicked":2,"mouseX":767,"mouseY":147,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147628475	17	{"lClicked":1,"mouseX":465,"mouseY":237,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147663964	18	{"lClicked":1,"mouseX":442,"mouseY":104,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147677591	19	{"lClicked":0,"mouseX":237,"mouseY":123,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147749288	20	{"lClicked":1,"mouseX":458,"mouseY":129,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147798302	21	{"lClicked":0,"mouseX":112,"mouseY":176,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147818536	22	{"lClicked":2,"mouseX":734,"mouseY":125,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147874684	23	{"lClicked":0,"mouseX":249,"mouseY":170,"condition":{"name":"SPLIT","numDiffs":5}}
