eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147753889	1	{"lClicked":0,"mouseX":233,"mouseY":85,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147789002	2	{"lClicked":2,"mouseX":769,"mouseY":160,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147807440	3	{"lClicked":1,"mouseX":446,"mouseY":152,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147832425	4	{"lClicked":2,"mouseX":655,"mouseY":78,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147846520	5	{"lClicked":1,"mouseX":430,"mouseY":158,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147869233	6	{"lClicked":2,"mouseX":668,"mouseY":96,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147885433	7	{"lClicked":2,"mouseX":749,"mouseY":157,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147906786	8	{"lClicked":1,"mouseX":486,"mouseY":150,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147951891	9	{"lClicked":1,"mouseX":441,"mouseY":141,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147976266	10	{"lClicked":2,"mouseX":700,"mouseY":120,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147989941	11	{"lClicked":1,"mouseX":464,"mouseY":121,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148025440	12	{"lClicked":2,"mouseX":690,"mouseY":103,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148041388	13	{"lClicked":1,"mouseX":469,"mouseY":128,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148069976	14	{"lClicked":1,"mouseX":383,"mouseY":134,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148090302	15	{"lClicked":0,"mouseX":118,"mouseY":153,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148122457	16	{"lClicked":1,"mouseX":411,"mouseY":162,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148137103	17	{"lClicked":0,"mouseX":132,"mouseY":113,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148155976	18	{"lClicked":2,"mouseX":793,"mouseY":186,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148173421	19	{"lClicked":1,"mouseX":501,"mouseY":136,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148195227	20	{"lClicked":1,"mouseX":374,"mouseY":133,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148213237	21	{"lClicked":1,"mouseX":457,"mouseY":224,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148227365	22	{"lClicked":1,"mouseX":388,"mouseY":89,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148254173	23	{"lClicked":1,"mouseX":463,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148286192	24	{"lClicked":0,"mouseX":196,"mouseY":159,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148308620	25	{"lClicked":1,"mouseX":439,"mouseY":72,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148327264	26	{"lClicked":1,"mouseX":444,"mouseY":72,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148358276	27	{"lClicked":2,"mouseX":833,"mouseY":230,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148381897	28	{"lClicked":0,"mouseX":195,"mouseY":122,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528148405834	29	{"lClicked":0,"mouseX":189,"mouseY":128,"condition":{"name":"CLOSE","numDiffs":8}}
