eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148224413	1	{"lClicked":2,"mouseX":780,"mouseY":132,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148304047	2	{"lClicked":1,"mouseX":480,"mouseY":159,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148316424	3	{"lClicked":1,"mouseX":509,"mouseY":149,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148342689	4	{"lClicked":0,"mouseX":178,"mouseY":188,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148393975	5	{"lClicked":1,"mouseX":420,"mouseY":122,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148526761	6	{"lClicked":0,"mouseX":226,"mouseY":196,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148571030	7	{"lClicked":1,"mouseX":517,"mouseY":194,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148599121	8	{"lClicked":1,"mouseX":484,"mouseY":198,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148618613	9	{"lClicked":0,"mouseX":123,"mouseY":194,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148641546	10	{"lClicked":2,"mouseX":727,"mouseY":139,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148656757	11	{"lClicked":1,"mouseX":528,"mouseY":77,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148692573	12	{"lClicked":1,"mouseX":485,"mouseY":193,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148706143	13	{"lClicked":0,"mouseX":38,"mouseY":72,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148733999	14	{"lClicked":0,"mouseX":147,"mouseY":196,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148820804	15	{"lClicked":2,"mouseX":756,"mouseY":89,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148864822	16	{"lClicked":1,"mouseX":442,"mouseY":133,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148881580	17	{"lClicked":2,"mouseX":748,"mouseY":138,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148895409	18	{"lClicked":2,"mouseX":755,"mouseY":227,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148916325	19	{"lClicked":2,"mouseX":840,"mouseY":81,"condition":{"name":"SPLIT","numDiffs":1}}
