eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149561716	1	{"lClicked":2,"mouseX":748,"mouseY":127,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149624000	2	{"lClicked":0,"mouseX":191,"mouseY":193,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149647931	3	{"lClicked":0,"mouseX":170,"mouseY":132,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149680468	4	{"lClicked":1,"mouseX":457,"mouseY":158,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149698356	5	{"lClicked":0,"mouseX":199,"mouseY":153,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149745288	6	{"lClicked":0,"mouseX":126,"mouseY":199,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149769925	7	{"lClicked":0,"mouseX":189,"mouseY":143,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149820631	8	{"lClicked":2,"mouseX":736,"mouseY":143,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149855132	9	{"lClicked":1,"mouseX":497,"mouseY":104,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149884158	10	{"lClicked":0,"mouseX":256,"mouseY":89,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	5261-f18d8ffc-a679-493d-9588-204ed448fddc	1528149903138	11	{"lClicked":2,"mouseX":721,"mouseY":114,"condition":{"name":"FAR","numDiffs":1}}
