eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158375834	1	{"lClicked":1,"mouseX":459,"mouseY":186,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158412641	2	{"lClicked":2,"mouseX":789,"mouseY":132,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158432915	3	{"lClicked":1,"mouseX":462,"mouseY":203,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158465025	4	{"lClicked":1,"mouseX":435,"mouseY":142,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158492713	5	{"lClicked":2,"mouseX":813,"mouseY":234,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158529406	6	{"lClicked":1,"mouseX":453,"mouseY":126,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158557991	7	{"lClicked":1,"mouseX":487,"mouseY":121,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158603457	8	{"lClicked":2,"mouseX":720,"mouseY":160,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158645271	9	{"lClicked":1,"mouseX":454,"mouseY":126,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158704816	10	{"lClicked":1,"mouseX":374,"mouseY":62,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158836294	11	{"lClicked":2,"mouseX":810,"mouseY":202,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158881720	12	{"lClicked":1,"mouseX":451,"mouseY":159,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158907214	13	{"lClicked":0,"mouseX":202,"mouseY":163,"condition":{"name":"SPLIT","numDiffs":7}}
