eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158727596	1	{"lClicked":1,"mouseX":438,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158765611	2	{"lClicked":1,"mouseX":453,"mouseY":143,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158904142	3	{"lClicked":2,"mouseX":750,"mouseY":127,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158959058	4	{"lClicked":0,"mouseX":124,"mouseY":150,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158980999	5	{"lClicked":2,"mouseX":740,"mouseY":150,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159096830	6	{"lClicked":2,"mouseX":748,"mouseY":146,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159122180	7	{"lClicked":2,"mouseX":724,"mouseY":116,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159148698	8	{"lClicked":2,"mouseX":716,"mouseY":151,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159163430	9	{"lClicked":0,"mouseX":139,"mouseY":96,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159257484	10	{"lClicked":2,"mouseX":767,"mouseY":121,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159315435	11	{"lClicked":0,"mouseX":158,"mouseY":108,"condition":{"name":"FAR","numDiffs":4}}
