eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159402389	1	{"lClicked":0,"mouseX":172,"mouseY":173,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159486001	2	{"lClicked":2,"mouseX":866,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159508148	3	{"lClicked":2,"mouseX":750,"mouseY":203,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159537403	4	{"lClicked":1,"mouseX":498,"mouseY":89,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159560811	5	{"lClicked":0,"mouseX":192,"mouseY":81,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159592309	6	{"lClicked":2,"mouseX":645,"mouseY":57,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159619471	7	{"lClicked":0,"mouseX":187,"mouseY":128,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159650896	8	{"lClicked":2,"mouseX":655,"mouseY":55,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159683078	9	{"lClicked":1,"mouseX":493,"mouseY":88,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159718797	10	{"lClicked":2,"mouseX":674,"mouseY":68,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159763263	11	{"lClicked":0,"mouseX":158,"mouseY":109,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	7115-f5686dd6-2f2d-4e05-bd29-9aef492f056c	1528159849786	12	{"lClicked":0,"mouseX":259,"mouseY":29,"condition":{"name":"CLOSE","numDiffs":1}}
