eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161061473	1	{"lClicked":0,"mouseX":168,"mouseY":195,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161085985	2	{"lClicked":0,"mouseX":205,"mouseY":169,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161107312	3	{"lClicked":1,"mouseX":409,"mouseY":66,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161125120	4	{"lClicked":2,"mouseX":707,"mouseY":151,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161147233	5	{"lClicked":2,"mouseX":758,"mouseY":142,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161166147	6	{"lClicked":1,"mouseX":448,"mouseY":122,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161191510	7	{"lClicked":2,"mouseX":684,"mouseY":127,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161215526	8	{"lClicked":0,"mouseX":208,"mouseY":128,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161242148	9	{"lClicked":0,"mouseX":133,"mouseY":171,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161286971	10	{"lClicked":2,"mouseX":768,"mouseY":184,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161338107	11	{"lClicked":2,"mouseX":694,"mouseY":200,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161372356	12	{"lClicked":1,"mouseX":401,"mouseY":169,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161394818	13	{"lClicked":2,"mouseX":678,"mouseY":159,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161431574	14	{"lClicked":2,"mouseX":781,"mouseY":159,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161469008	15	{"lClicked":0,"mouseX":125,"mouseY":143,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161495542	16	{"lClicked":1,"mouseX":478,"mouseY":140,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161516509	17	{"lClicked":2,"mouseX":810,"mouseY":127,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161540467	18	{"lClicked":0,"mouseX":185,"mouseY":174,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161559058	19	{"lClicked":0,"mouseX":227,"mouseY":132,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161583839	20	{"lClicked":2,"mouseX":675,"mouseY":132,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161597190	21	{"lClicked":1,"mouseX":377,"mouseY":63,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161621577	22	{"lClicked":1,"mouseX":462,"mouseY":174,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161640291	23	{"lClicked":2,"mouseX":846,"mouseY":160,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161663169	24	{"lClicked":2,"mouseX":772,"mouseY":171,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161710217	25	{"lClicked":1,"mouseX":417,"mouseY":154,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161735227	26	{"lClicked":0,"mouseX":190,"mouseY":130,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161756852	27	{"lClicked":1,"mouseX":509,"mouseY":98,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161772452	28	{"lClicked":1,"mouseX":461,"mouseY":187,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161790938	29	{"lClicked":2,"mouseX":677,"mouseY":107,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161826020	30	{"lClicked":1,"mouseX":426,"mouseY":155,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161851670	31	{"lClicked":0,"mouseX":169,"mouseY":86,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161874639	32	{"lClicked":1,"mouseX":393,"mouseY":114,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161893966	33	{"lClicked":2,"mouseX":734,"mouseY":93,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161914345	34	{"lClicked":0,"mouseX":257,"mouseY":98,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161932569	35	{"lClicked":1,"mouseX":426,"mouseY":216,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161966896	36	{"lClicked":2,"mouseX":717,"mouseY":128,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161984294	37	{"lClicked":2,"mouseX":708,"mouseY":164,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162012029	38	{"lClicked":0,"mouseX":187,"mouseY":173,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162030209	39	{"lClicked":0,"mouseX":191,"mouseY":91,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162046077	40	{"lClicked":0,"mouseX":227,"mouseY":116,"condition":{"name":"SPLIT","numDiffs":2}}
