eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144088437	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,66,50]},{"color":[18,1,50]},{"color":[100,2,50]},{"color":[191,54,50]},{"color":[121,44,50]},{"color":[139,50,50]},{"color":[300,38,50]},{"color":[0,23,50]},{"color":[153,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,66,50]},{"color":[13,9,50]},{"color":[244,4,50]},{"color":[201,12,50]},{"color":[130,29,50]},{"color":[162,63,50]},{"color":[326,27,50]},{"color":[321,15,50]},{"color":[179,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,66,50]},{"color":[18,21,50]},{"color":[38,6,50]},{"color":[172,29,50]},{"color":[115,73,50]},{"color":[157,83,50]},{"color":[324,91,50]},{"color":[342,56,50]},{"color":[162,59,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144123610	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,11,50]},{"color":[198,2,50]},{"color":[324,47,50]},{"color":[158,95,50]},{"color":[96,88,50]},{"color":[248,63,50]},{"color":[186,87,50]},{"color":[89,25,50]},{"color":[49,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,11,50]},{"color":[198,2,50]},{"color":[324,47,50]},{"color":[158,95,50]},{"color":[96,88,50]},{"color":[248,63,50]},{"color":[186,87,50]},{"color":[207,79,50]},{"color":[190,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,11,50]},{"color":[198,2,50]},{"color":[324,47,50]},{"color":[158,95,50]},{"color":[96,88,50]},{"color":[248,63,50]},{"color":[186,87,50]},{"color":[212,25,50]},{"color":[183,92,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144155281	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,67,50]},{"color":[88,46,50]},{"color":[244,45,50]},{"color":[322,11,50]},{"color":[345,26,50]},{"color":[332,11,50]},{"color":[317,10,50]},{"color":[4,84,50]},{"color":[294,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,60,50]},{"color":[201,90,50]},{"color":[244,45,50]},{"color":[322,11,50]},{"color":[345,26,50]},{"color":[332,11,50]},{"color":[317,10,50]},{"color":[288,14,50]},{"color":[346,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,35,50]},{"color":[296,30,50]},{"color":[244,45,50]},{"color":[322,11,50]},{"color":[345,26,50]},{"color":[332,11,50]},{"color":[317,10,50]},{"color":[168,62,50]},{"color":[129,43,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144185890	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,11,50]},{"color":[234,28,50]},{"color":[247,46,50]},{"color":[131,75,50]},{"color":[4,11,50]},{"color":[7,47,50]},{"color":[128,9,50]},{"color":[117,41,50]},{"color":[296,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,11,50]},{"color":[234,28,50]},{"color":[247,46,50]},{"color":[131,75,50]},{"color":[343,22,50]},{"color":[7,47,50]},{"color":[128,9,50]},{"color":[117,41,50]},{"color":[320,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,11,50]},{"color":[234,28,50]},{"color":[247,46,50]},{"color":[131,75,50]},{"color":[292,82,50]},{"color":[7,47,50]},{"color":[128,9,50]},{"color":[117,41,50]},{"color":[25,3,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144222254	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,64,50]},{"color":[235,96,50]},{"color":[123,85,50]},{"color":[214,4,50]},{"color":[12,77,50]},{"color":[113,31,50]},{"color":[114,62,50]},{"color":[357,33,50]},{"color":[57,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,64,50]},{"color":[350,88,50]},{"color":[3,45,50]},{"color":[227,94,50]},{"color":[333,37,50]},{"color":[262,71,50]},{"color":[319,50,50]},{"color":[259,88,50]},{"color":[130,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,64,50]},{"color":[89,90,50]},{"color":[303,43,50]},{"color":[56,63,50]},{"color":[114,16,50]},{"color":[56,74,50]},{"color":[33,63,50]},{"color":[43,53,50]},{"color":[295,78,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144241570	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,27,50]},{"color":[12,70,50]},{"color":[208,2,50]},{"color":[338,46,50]},{"color":[152,30,50]},{"color":[62,61,50]},{"color":[215,7,50]},{"color":[256,48,50]},{"color":[164,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[161,55,50]},{"color":[339,92,50]},{"color":[208,2,50]},{"color":[338,46,50]},{"color":[152,30,50]},{"color":[49,62,50]},{"color":[215,7,50]},{"color":[232,51,50]},{"color":[164,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,72,50]},{"color":[1,96,50]},{"color":[208,2,50]},{"color":[338,46,50]},{"color":[152,30,50]},{"color":[55,93,50]},{"color":[215,7,50]},{"color":[215,65,50]},{"color":[164,42,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144281106	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,51,50]},{"color":[79,15,50]},{"color":[47,74,50]},{"color":[86,29,50]},{"color":[84,84,50]},{"color":[93,69,50]},{"color":[159,69,50]},{"color":[265,14,50]},{"color":[75,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[293,27,50]},{"color":[31,78,50]},{"color":[47,74,50]},{"color":[17,31,50]},{"color":[164,42,50]},{"color":[46,38,50]},{"color":[159,69,50]},{"color":[335,56,50]},{"color":[75,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[112,19,50]},{"color":[176,21,50]},{"color":[47,74,50]},{"color":[90,76,50]},{"color":[90,66,50]},{"color":[76,88,50]},{"color":[159,69,50]},{"color":[250,31,50]},{"color":[75,99,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144299416	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[193,91,50]},{"color":[192,30,50]},{"color":[21,72,50]},{"color":[10,72,50]},{"color":[235,35,50]},{"color":[324,61,50]},{"color":[53,13,50]},{"color":[297,45,50]},{"color":[98,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,29,50]},{"color":[212,53,50]},{"color":[21,72,50]},{"color":[27,97,50]},{"color":[254,49,50]},{"color":[303,45,50]},{"color":[46,51,50]},{"color":[308,34,50]},{"color":[74,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,37,50]},{"color":[197,12,50]},{"color":[21,72,50]},{"color":[25,59,50]},{"color":[257,19,50]},{"color":[273,37,50]},{"color":[32,49,50]},{"color":[249,35,50]},{"color":[119,67,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144326538	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,53,50]},{"color":[62,20,50]},{"color":[10,42,50]},{"color":[85,89,50]},{"color":[20,28,50]},{"color":[282,69,50]},{"color":[239,59,50]},{"color":[24,55,50]},{"color":[177,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,53,50]},{"color":[137,21,50]},{"color":[4,24,50]},{"color":[85,89,50]},{"color":[31,84,50]},{"color":[282,69,50]},{"color":[239,59,50]},{"color":[24,55,50]},{"color":[177,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,53,50]},{"color":[91,24,50]},{"color":[342,93,50]},{"color":[85,89,50]},{"color":[19,88,50]},{"color":[282,69,50]},{"color":[239,59,50]},{"color":[24,55,50]},{"color":[177,53,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	8702-4794397c-acb7-4766-bc65-df5df5ad9ef1	1528144345494	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,24,50]},{"color":[277,37,50]},{"color":[202,67,50]},{"color":[7,49,50]},{"color":[125,96,50]},{"color":[229,48,50]},{"color":[129,0,50]},{"color":[24,85,50]},{"color":[331,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,24,50]},{"color":[277,37,50]},{"color":[333,89,50]},{"color":[329,57,50]},{"color":[49,93,50]},{"color":[192,45,50]},{"color":[358,95,50]},{"color":[24,85,50]},{"color":[331,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,24,50]},{"color":[277,37,50]},{"color":[26,61,50]},{"color":[193,1,50]},{"color":[60,12,50]},{"color":[84,60,50]},{"color":[307,25,50]},{"color":[24,85,50]},{"color":[331,96,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":5}}
