eventType	type	gameid	time	roundNum	state
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144340488	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,23,50]},{"color":[160,26,50]},{"color":[160,2,50]},{"color":[74,7,50]},{"color":[69,99,50]},{"color":[325,93,50]},{"color":[90,48,50]},{"color":[333,87,50]},{"color":[280,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,52,50]},{"color":[139,48,50]},{"color":[148,10,50]},{"color":[126,15,50]},{"color":[69,99,50]},{"color":[324,69,50]},{"color":[113,57,50]},{"color":[333,87,50]},{"color":[28,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,94,50]},{"color":[65,71,50]},{"color":[313,35,50]},{"color":[286,58,50]},{"color":[69,99,50]},{"color":[210,88,50]},{"color":[252,7,50]},{"color":[333,87,50]},{"color":[256,93,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144402654	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,99,50]},{"color":[160,56,50]},{"color":[37,26,50]},{"color":[232,59,50]},{"color":[170,17,50]},{"color":[218,14,50]},{"color":[45,25,50]},{"color":[126,14,50]},{"color":[73,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,99,50]},{"color":[160,56,50]},{"color":[37,26,50]},{"color":[232,59,50]},{"color":[170,17,50]},{"color":[218,14,50]},{"color":[215,41,50]},{"color":[126,14,50]},{"color":[73,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,99,50]},{"color":[160,56,50]},{"color":[37,26,50]},{"color":[232,59,50]},{"color":[170,17,50]},{"color":[218,14,50]},{"color":[133,5,50]},{"color":[126,14,50]},{"color":[73,66,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144430959	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,67,50]},{"color":[234,50,50]},{"color":[39,54,50]},{"color":[238,13,50]},{"color":[176,70,50]},{"color":[281,51,50]},{"color":[1,6,50]},{"color":[180,80,50]},{"color":[346,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,67,50]},{"color":[93,85,50]},{"color":[351,10,50]},{"color":[238,13,50]},{"color":[51,38,50]},{"color":[281,51,50]},{"color":[1,6,50]},{"color":[180,80,50]},{"color":[267,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,67,50]},{"color":[92,42,50]},{"color":[337,4,50]},{"color":[238,13,50]},{"color":[32,32,50]},{"color":[281,51,50]},{"color":[1,6,50]},{"color":[180,80,50]},{"color":[247,39,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144458104	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,54,50]},{"color":[202,78,50]},{"color":[24,79,50]},{"color":[156,22,50]},{"color":[277,32,50]},{"color":[248,76,50]},{"color":[351,60,50]},{"color":[152,46,50]},{"color":[146,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,54,50]},{"color":[202,78,50]},{"color":[24,79,50]},{"color":[156,22,50]},{"color":[277,32,50]},{"color":[248,76,50]},{"color":[351,60,50]},{"color":[302,19,50]},{"color":[146,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,54,50]},{"color":[202,78,50]},{"color":[24,79,50]},{"color":[156,22,50]},{"color":[277,32,50]},{"color":[248,76,50]},{"color":[351,60,50]},{"color":[110,77,50]},{"color":[146,81,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144506064	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,50,50]},{"color":[133,99,50]},{"color":[59,21,50]},{"color":[150,18,50]},{"color":[318,40,50]},{"color":[296,13,50]},{"color":[252,96,50]},{"color":[318,42,50]},{"color":[164,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,50,50]},{"color":[159,91,50]},{"color":[133,15,50]},{"color":[150,18,50]},{"color":[305,14,50]},{"color":[236,19,50]},{"color":[252,96,50]},{"color":[318,42,50]},{"color":[138,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,50,50]},{"color":[90,55,50]},{"color":[101,35,50]},{"color":[150,18,50]},{"color":[294,50,50]},{"color":[268,19,50]},{"color":[252,96,50]},{"color":[318,42,50]},{"color":[97,18,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144525191	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,4,50]},{"color":[318,81,50]},{"color":[310,75,50]},{"color":[115,35,50]},{"color":[27,18,50]},{"color":[115,94,50]},{"color":[296,71,50]},{"color":[336,71,50]},{"color":[145,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,4,50]},{"color":[311,61,50]},{"color":[310,75,50]},{"color":[115,35,50]},{"color":[116,4,50]},{"color":[115,94,50]},{"color":[296,71,50]},{"color":[336,71,50]},{"color":[145,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,4,50]},{"color":[338,43,50]},{"color":[310,75,50]},{"color":[115,35,50]},{"color":[328,3,50]},{"color":[115,94,50]},{"color":[296,71,50]},{"color":[336,71,50]},{"color":[145,75,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144581009	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,61,50]},{"color":[106,68,50]},{"color":[47,11,50]},{"color":[65,82,50]},{"color":[328,22,50]},{"color":[208,91,50]},{"color":[268,47,50]},{"color":[204,66,50]},{"color":[76,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,85,50]},{"color":[127,57,50]},{"color":[47,11,50]},{"color":[65,82,50]},{"color":[328,22,50]},{"color":[208,91,50]},{"color":[268,47,50]},{"color":[185,11,50]},{"color":[76,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[354,98,50]},{"color":[73,39,50]},{"color":[47,11,50]},{"color":[65,82,50]},{"color":[328,22,50]},{"color":[208,91,50]},{"color":[268,47,50]},{"color":[199,55,50]},{"color":[76,79,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144599806	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,75,50]},{"color":[247,69,50]},{"color":[352,26,50]},{"color":[6,68,50]},{"color":[237,5,50]},{"color":[126,25,50]},{"color":[171,0,50]},{"color":[260,66,50]},{"color":[224,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,75,50]},{"color":[247,69,50]},{"color":[297,92,50]},{"color":[166,69,50]},{"color":[237,5,50]},{"color":[70,93,50]},{"color":[238,83,50]},{"color":[260,66,50]},{"color":[224,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,75,50]},{"color":[247,69,50]},{"color":[63,64,50]},{"color":[224,16,50]},{"color":[237,5,50]},{"color":[312,98,50]},{"color":[353,26,50]},{"color":[260,66,50]},{"color":[224,63,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144634124	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,96,50]},{"color":[177,56,50]},{"color":[0,99,50]},{"color":[73,65,50]},{"color":[44,92,50]},{"color":[50,78,50]},{"color":[120,31,50]},{"color":[141,32,50]},{"color":[139,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,96,50]},{"color":[177,56,50]},{"color":[26,55,50]},{"color":[74,51,50]},{"color":[57,58,50]},{"color":[50,78,50]},{"color":[168,54,50]},{"color":[153,64,50]},{"color":[101,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,96,50]},{"color":[177,56,50]},{"color":[22,38,50]},{"color":[61,64,50]},{"color":[46,67,50]},{"color":[50,78,50]},{"color":[134,55,50]},{"color":[146,43,50]},{"color":[147,59,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	4183-8fd72d7b-65da-4edf-8769-e3b78734409c	1528144675792	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,84,50]},{"color":[340,80,50]},{"color":[315,95,50]},{"color":[125,43,50]},{"color":[306,55,50]},{"color":[301,74,50]},{"color":[88,63,50]},{"color":[56,83,50]},{"color":[233,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,84,50]},{"color":[191,87,50]},{"color":[125,64,50]},{"color":[353,81,50]},{"color":[306,55,50]},{"color":[301,74,50]},{"color":[23,17,50]},{"color":[56,83,50]},{"color":[22,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,84,50]},{"color":[345,95,50]},{"color":[314,52,50]},{"color":[143,76,50]},{"color":[306,55,50]},{"color":[301,74,50]},{"color":[150,70,50]},{"color":[56,83,50]},{"color":[272,81,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":5}}
