eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145311271	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,24,50]},{"color":[58,11,50]},{"color":[328,28,50]},{"color":[289,23,50]},{"color":[2,38,50]},{"color":[196,35,50]},{"color":[235,27,50]},{"color":[205,36,50]},{"color":[179,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,25,50]},{"color":[33,2,50]},{"color":[353,29,50]},{"color":[294,34,50]},{"color":[357,12,50]},{"color":[221,37,50]},{"color":[235,27,50]},{"color":[175,10,50]},{"color":[179,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,34,50]},{"color":[293,50,50]},{"color":[169,62,50]},{"color":[123,58,50]},{"color":[196,96,50]},{"color":[66,76,50]},{"color":[235,27,50]},{"color":[54,80,50]},{"color":[179,57,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145366727	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,22,50]},{"color":[71,21,50]},{"color":[46,22,50]},{"color":[141,22,50]},{"color":[85,65,50]},{"color":[16,29,50]},{"color":[225,46,50]},{"color":[295,10,50]},{"color":[33,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,62,50]},{"color":[71,21,50]},{"color":[31,30,50]},{"color":[168,76,50]},{"color":[126,76,50]},{"color":[19,98,50]},{"color":[262,70,50]},{"color":[227,1,50]},{"color":[47,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,27,50]},{"color":[71,21,50]},{"color":[257,73,50]},{"color":[212,77,50]},{"color":[313,6,50]},{"color":[219,9,50]},{"color":[30,48,50]},{"color":[116,71,50]},{"color":[254,34,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145513033	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,23,50]},{"color":[238,42,50]},{"color":[339,14,50]},{"color":[270,26,50]},{"color":[250,26,50]},{"color":[17,32,50]},{"color":[291,51,50]},{"color":[234,9,50]},{"color":[327,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,23,50]},{"color":[238,42,50]},{"color":[339,14,50]},{"color":[225,35,50]},{"color":[250,26,50]},{"color":[347,87,50]},{"color":[291,51,50]},{"color":[177,0,50]},{"color":[318,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,23,50]},{"color":[238,42,50]},{"color":[339,14,50]},{"color":[250,59,50]},{"color":[250,26,50]},{"color":[16,48,50]},{"color":[291,51,50]},{"color":[164,5,50]},{"color":[320,46,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145553099	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,77,50]},{"color":[41,54,50]},{"color":[204,55,50]},{"color":[301,6,50]},{"color":[74,16,50]},{"color":[150,11,50]},{"color":[86,88,50]},{"color":[350,51,50]},{"color":[247,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[114,91,50]},{"color":[50,42,50]},{"color":[225,8,50]},{"color":[58,2,50]},{"color":[74,16,50]},{"color":[279,3,50]},{"color":[64,92,50]},{"color":[16,49,50]},{"color":[232,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,59,50]},{"color":[60,55,50]},{"color":[191,35,50]},{"color":[289,2,50]},{"color":[74,16,50]},{"color":[201,16,50]},{"color":[79,70,50]},{"color":[0,67,50]},{"color":[223,70,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145625418	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,87,50]},{"color":[269,72,50]},{"color":[61,48,50]},{"color":[179,27,50]},{"color":[299,36,50]},{"color":[35,62,50]},{"color":[91,40,50]},{"color":[332,92,50]},{"color":[237,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,87,50]},{"color":[63,3,50]},{"color":[61,48,50]},{"color":[179,27,50]},{"color":[299,36,50]},{"color":[327,16,50]},{"color":[18,39,50]},{"color":[332,92,50]},{"color":[237,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,87,50]},{"color":[19,82,50]},{"color":[61,48,50]},{"color":[179,27,50]},{"color":[299,36,50]},{"color":[155,36,50]},{"color":[251,13,50]},{"color":[332,92,50]},{"color":[237,34,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145640761	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,81,50]},{"color":[100,21,50]},{"color":[287,54,50]},{"color":[199,68,50]},{"color":[16,92,50]},{"color":[76,85,50]},{"color":[169,73,50]},{"color":[335,31,50]},{"color":[307,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,97,50]},{"color":[100,21,50]},{"color":[224,0,50]},{"color":[43,3,50]},{"color":[188,44,50]},{"color":[76,85,50]},{"color":[0,44,50]},{"color":[335,31,50]},{"color":[307,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,68,50]},{"color":[100,21,50]},{"color":[81,67,50]},{"color":[289,70,50]},{"color":[286,1,50]},{"color":[76,85,50]},{"color":[231,47,50]},{"color":[335,31,50]},{"color":[307,64,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145662114	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,63,50]},{"color":[96,27,50]},{"color":[350,12,50]},{"color":[21,74,50]},{"color":[220,20,50]},{"color":[242,81,50]},{"color":[261,56,50]},{"color":[41,29,50]},{"color":[137,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,82,50]},{"color":[96,27,50]},{"color":[29,72,50]},{"color":[21,74,50]},{"color":[220,20,50]},{"color":[167,68,50]},{"color":[261,56,50]},{"color":[41,29,50]},{"color":[137,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,2,50]},{"color":[96,27,50]},{"color":[161,98,50]},{"color":[21,74,50]},{"color":[220,20,50]},{"color":[43,91,50]},{"color":[261,56,50]},{"color":[41,29,50]},{"color":[137,73,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145691428	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,23,50]},{"color":[296,44,50]},{"color":[36,55,50]},{"color":[167,88,50]},{"color":[120,19,50]},{"color":[53,10,50]},{"color":[72,74,50]},{"color":[292,47,50]},{"color":[141,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,18,50]},{"color":[296,44,50]},{"color":[36,55,50]},{"color":[327,70,50]},{"color":[120,19,50]},{"color":[53,10,50]},{"color":[72,74,50]},{"color":[1,62,50]},{"color":[110,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,39,50]},{"color":[296,44,50]},{"color":[36,55,50]},{"color":[123,98,50]},{"color":[120,19,50]},{"color":[53,10,50]},{"color":[72,74,50]},{"color":[35,50,50]},{"color":[218,82,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145732026	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,7,50]},{"color":[117,41,50]},{"color":[172,25,50]},{"color":[105,2,50]},{"color":[295,44,50]},{"color":[220,8,50]},{"color":[203,76,50]},{"color":[230,76,50]},{"color":[266,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,7,50]},{"color":[298,74,50]},{"color":[172,25,50]},{"color":[105,2,50]},{"color":[133,73,50]},{"color":[220,8,50]},{"color":[165,47,50]},{"color":[230,76,50]},{"color":[266,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,7,50]},{"color":[70,27,50]},{"color":[172,25,50]},{"color":[105,2,50]},{"color":[297,79,50]},{"color":[220,8,50]},{"color":[198,58,50]},{"color":[230,76,50]},{"color":[266,38,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	8134-8d65c2ad-2bae-4daf-9eba-2409c0cb4fd0	1528145782053	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,49,50]},{"color":[63,74,50]},{"color":[209,37,50]},{"color":[222,22,50]},{"color":[127,77,50]},{"color":[102,38,50]},{"color":[253,32,50]},{"color":[276,9,50]},{"color":[247,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,7,50]},{"color":[144,46,50]},{"color":[277,62,50]},{"color":[222,22,50]},{"color":[297,41,50]},{"color":[311,34,50]},{"color":[253,32,50]},{"color":[213,48,50]},{"color":[247,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,80,50]},{"color":[82,11,50]},{"color":[120,42,50]},{"color":[222,22,50]},{"color":[172,22,50]},{"color":[24,2,50]},{"color":[253,32,50]},{"color":[51,76,50]},{"color":[247,45,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":6}}
