eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148224413	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,46,50]},{"color":[302,98,50]},{"color":[237,15,50]},{"color":[106,43,50]},{"color":[176,55,50]},{"color":[103,84,50]},{"color":[96,40,50]},{"color":[136,5,50]},{"color":[289,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,49,50]},{"color":[302,98,50]},{"color":[237,15,50]},{"color":[112,33,50]},{"color":[155,14,50]},{"color":[103,84,50]},{"color":[163,69,50]},{"color":[136,5,50]},{"color":[277,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,64,50]},{"color":[302,98,50]},{"color":[237,15,50]},{"color":[143,73,50]},{"color":[146,27,50]},{"color":[103,84,50]},{"color":[155,73,50]},{"color":[136,5,50]},{"color":[305,25,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148304047	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,49,50]},{"color":[284,23,50]},{"color":[283,12,50]},{"color":[220,70,50]},{"color":[32,21,50]},{"color":[31,62,50]},{"color":[79,0,50]},{"color":[172,16,50]},{"color":[105,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,49,50]},{"color":[284,23,50]},{"color":[155,62,50]},{"color":[220,70,50]},{"color":[32,21,50]},{"color":[31,62,50]},{"color":[79,0,50]},{"color":[172,16,50]},{"color":[3,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,49,50]},{"color":[284,23,50]},{"color":[162,38,50]},{"color":[220,70,50]},{"color":[32,21,50]},{"color":[31,62,50]},{"color":[79,0,50]},{"color":[172,16,50]},{"color":[354,32,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148316424	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,43,50]},{"color":[189,23,50]},{"color":[356,95,50]},{"color":[237,33,50]},{"color":[17,48,50]},{"color":[282,22,50]},{"color":[255,90,50]},{"color":[120,5,50]},{"color":[149,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[208,66,50]},{"color":[189,23,50]},{"color":[48,67,50]},{"color":[237,33,50]},{"color":[17,48,50]},{"color":[160,83,50]},{"color":[255,90,50]},{"color":[203,52,50]},{"color":[149,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,3,50]},{"color":[189,23,50]},{"color":[111,83,50]},{"color":[237,33,50]},{"color":[17,48,50]},{"color":[58,75,50]},{"color":[255,90,50]},{"color":[4,64,50]},{"color":[149,40,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148342689	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,75,50]},{"color":[239,45,50]},{"color":[158,14,50]},{"color":[29,64,50]},{"color":[164,19,50]},{"color":[42,35,50]},{"color":[36,36,50]},{"color":[28,40,50]},{"color":[305,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,75,50]},{"color":[305,51,50]},{"color":[158,14,50]},{"color":[273,47,50]},{"color":[343,36,50]},{"color":[42,35,50]},{"color":[36,36,50]},{"color":[28,40,50]},{"color":[56,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,75,50]},{"color":[308,79,50]},{"color":[158,14,50]},{"color":[251,12,50]},{"color":[351,63,50]},{"color":[42,35,50]},{"color":[36,36,50]},{"color":[28,40,50]},{"color":[52,58,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148393975	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[257,41,50]},{"color":[208,16,50]},{"color":[147,70,50]},{"color":[312,77,50]},{"color":[46,92,50]},{"color":[323,47,50]},{"color":[290,37,50]},{"color":[47,62,50]},{"color":[256,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,32,50]},{"color":[208,16,50]},{"color":[79,29,50]},{"color":[340,71,50]},{"color":[46,92,50]},{"color":[340,90,50]},{"color":[326,79,50]},{"color":[34,76,50]},{"color":[238,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,30,50]},{"color":[208,16,50]},{"color":[74,51,50]},{"color":[332,94,50]},{"color":[46,92,50]},{"color":[333,39,50]},{"color":[321,15,50]},{"color":[38,44,50]},{"color":[280,10,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148526761	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,3,50]},{"color":[23,87,50]},{"color":[18,7,50]},{"color":[289,91,50]},{"color":[220,53,50]},{"color":[207,22,50]},{"color":[225,87,50]},{"color":[8,45,50]},{"color":[192,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,3,50]},{"color":[23,87,50]},{"color":[18,7,50]},{"color":[289,91,50]},{"color":[220,53,50]},{"color":[271,83,50]},{"color":[225,87,50]},{"color":[196,30,50]},{"color":[192,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,3,50]},{"color":[23,87,50]},{"color":[18,7,50]},{"color":[289,91,50]},{"color":[220,53,50]},{"color":[270,42,50]},{"color":[225,87,50]},{"color":[183,29,50]},{"color":[192,6,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148571030	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,94,50]},{"color":[223,22,50]},{"color":[196,51,50]},{"color":[228,5,50]},{"color":[180,42,50]},{"color":[102,3,50]},{"color":[5,90,50]},{"color":[110,81,50]},{"color":[162,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,94,50]},{"color":[223,22,50]},{"color":[196,51,50]},{"color":[228,5,50]},{"color":[180,42,50]},{"color":[102,3,50]},{"color":[5,90,50]},{"color":[110,81,50]},{"color":[241,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,94,50]},{"color":[223,22,50]},{"color":[196,51,50]},{"color":[228,5,50]},{"color":[180,42,50]},{"color":[102,3,50]},{"color":[5,90,50]},{"color":[110,81,50]},{"color":[15,66,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148599121	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,35,50]},{"color":[245,69,50]},{"color":[70,15,50]},{"color":[217,20,50]},{"color":[330,10,50]},{"color":[44,74,50]},{"color":[246,85,50]},{"color":[79,34,50]},{"color":[69,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,35,50]},{"color":[245,69,50]},{"color":[70,15,50]},{"color":[299,86,50]},{"color":[330,10,50]},{"color":[339,78,50]},{"color":[246,85,50]},{"color":[79,34,50]},{"color":[69,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,35,50]},{"color":[245,69,50]},{"color":[70,15,50]},{"color":[130,82,50]},{"color":[330,10,50]},{"color":[133,21,50]},{"color":[246,85,50]},{"color":[79,34,50]},{"color":[69,30,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148618613	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,24,50]},{"color":[112,74,50]},{"color":[136,14,50]},{"color":[74,56,50]},{"color":[333,4,50]},{"color":[219,16,50]},{"color":[315,27,50]},{"color":[96,85,50]},{"color":[190,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,24,50]},{"color":[112,74,50]},{"color":[93,15,50]},{"color":[74,56,50]},{"color":[333,4,50]},{"color":[219,16,50]},{"color":[317,78,50]},{"color":[74,85,50]},{"color":[190,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,24,50]},{"color":[112,74,50]},{"color":[166,45,50]},{"color":[74,56,50]},{"color":[333,4,50]},{"color":[219,16,50]},{"color":[302,53,50]},{"color":[62,93,50]},{"color":[190,37,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148641546	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[147,14,50]},{"color":[254,26,50]},{"color":[38,42,50]},{"color":[225,47,50]},{"color":[130,84,50]},{"color":[40,0,50]},{"color":[149,73,50]},{"color":[111,73,50]},{"color":[25,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,85,50]},{"color":[254,26,50]},{"color":[38,42,50]},{"color":[225,47,50]},{"color":[13,35,50]},{"color":[40,0,50]},{"color":[149,73,50]},{"color":[111,73,50]},{"color":[276,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,30,50]},{"color":[254,26,50]},{"color":[38,42,50]},{"color":[225,47,50]},{"color":[243,84,50]},{"color":[40,0,50]},{"color":[149,73,50]},{"color":[111,73,50]},{"color":[106,73,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148656757	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,46,50]},{"color":[15,33,50]},{"color":[101,29,50]},{"color":[94,30,50]},{"color":[161,6,50]},{"color":[288,65,50]},{"color":[91,84,50]},{"color":[337,12,50]},{"color":[294,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,46,50]},{"color":[343,78,50]},{"color":[101,29,50]},{"color":[94,30,50]},{"color":[161,6,50]},{"color":[273,62,50]},{"color":[91,84,50]},{"color":[337,12,50]},{"color":[294,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,46,50]},{"color":[212,16,50]},{"color":[101,29,50]},{"color":[94,30,50]},{"color":[161,6,50]},{"color":[283,11,50]},{"color":[91,84,50]},{"color":[337,12,50]},{"color":[294,82,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148692573	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,54,50]},{"color":[245,84,50]},{"color":[176,25,50]},{"color":[333,77,50]},{"color":[234,93,50]},{"color":[266,32,50]},{"color":[207,88,50]},{"color":[277,45,50]},{"color":[105,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,54,50]},{"color":[235,33,50]},{"color":[176,25,50]},{"color":[352,54,50]},{"color":[234,93,50]},{"color":[266,32,50]},{"color":[208,37,50]},{"color":[228,53,50]},{"color":[61,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,54,50]},{"color":[277,46,50]},{"color":[176,25,50]},{"color":[359,31,50]},{"color":[234,93,50]},{"color":[266,32,50]},{"color":[191,26,50]},{"color":[250,42,50]},{"color":[130,36,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148706143	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,93,50]},{"color":[62,80,50]},{"color":[156,79,50]},{"color":[268,68,50]},{"color":[137,71,50]},{"color":[317,33,50]},{"color":[23,16,50]},{"color":[244,47,50]},{"color":[277,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,93,50]},{"color":[28,79,50]},{"color":[357,80,50]},{"color":[71,7,50]},{"color":[137,71,50]},{"color":[233,10,50]},{"color":[23,16,50]},{"color":[146,92,50]},{"color":[121,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,93,50]},{"color":[102,55,50]},{"color":[193,0,50]},{"color":[5,22,50]},{"color":[137,71,50]},{"color":[197,60,50]},{"color":[23,16,50]},{"color":[295,55,50]},{"color":[63,93,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":6}}
