eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158375834	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,43,50]},{"color":[342,83,50]},{"color":[301,41,50]},{"color":[158,10,50]},{"color":[170,50,50]},{"color":[12,37,50]},{"color":[8,28,50]},{"color":[247,21,50]},{"color":[348,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,18,50]},{"color":[348,37,50]},{"color":[281,68,50]},{"color":[306,2,50]},{"color":[186,36,50]},{"color":[12,37,50]},{"color":[342,22,50]},{"color":[294,26,50]},{"color":[348,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,13,50]},{"color":[333,75,50]},{"color":[310,69,50]},{"color":[70,12,50]},{"color":[151,36,50]},{"color":[12,37,50]},{"color":[11,8,50]},{"color":[319,8,50]},{"color":[348,59,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158412641	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,55,50]},{"color":[276,13,50]},{"color":[171,67,50]},{"color":[24,33,50]},{"color":[285,67,50]},{"color":[280,94,50]},{"color":[280,39,50]},{"color":[13,64,50]},{"color":[182,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,55,50]},{"color":[276,13,50]},{"color":[171,67,50]},{"color":[19,39,50]},{"color":[285,67,50]},{"color":[280,94,50]},{"color":[289,17,50]},{"color":[29,26,50]},{"color":[182,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,55,50]},{"color":[276,13,50]},{"color":[171,67,50]},{"color":[347,21,50]},{"color":[285,67,50]},{"color":[280,94,50]},{"color":[311,82,50]},{"color":[30,86,50]},{"color":[182,92,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158432915	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[311,36,50]},{"color":[303,4,50]},{"color":[60,65,50]},{"color":[317,24,50]},{"color":[66,46,50]},{"color":[353,25,50]},{"color":[18,98,50]},{"color":[202,14,50]},{"color":[227,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[311,36,50]},{"color":[303,4,50]},{"color":[60,65,50]},{"color":[317,24,50]},{"color":[66,46,50]},{"color":[353,25,50]},{"color":[19,27,50]},{"color":[202,14,50]},{"color":[227,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[311,36,50]},{"color":[303,4,50]},{"color":[60,65,50]},{"color":[317,24,50]},{"color":[66,46,50]},{"color":[353,25,50]},{"color":[359,55,50]},{"color":[202,14,50]},{"color":[227,14,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158465025	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,86,50]},{"color":[50,94,50]},{"color":[303,15,50]},{"color":[341,65,50]},{"color":[346,97,50]},{"color":[218,65,50]},{"color":[29,18,50]},{"color":[335,67,50]},{"color":[107,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,22,50]},{"color":[290,21,50]},{"color":[86,25,50]},{"color":[341,65,50]},{"color":[346,97,50]},{"color":[218,65,50]},{"color":[87,62,50]},{"color":[335,67,50]},{"color":[207,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[66,20,50]},{"color":[235,6,50]},{"color":[60,10,50]},{"color":[341,65,50]},{"color":[346,97,50]},{"color":[218,65,50]},{"color":[90,97,50]},{"color":[335,67,50]},{"color":[154,3,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158492713	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,89,50]},{"color":[346,68,50]},{"color":[354,74,50]},{"color":[318,2,50]},{"color":[13,7,50]},{"color":[359,86,50]},{"color":[205,31,50]},{"color":[191,65,50]},{"color":[75,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,89,50]},{"color":[167,34,50]},{"color":[354,74,50]},{"color":[318,2,50]},{"color":[13,7,50]},{"color":[359,86,50]},{"color":[205,31,50]},{"color":[124,48,50]},{"color":[75,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,89,50]},{"color":[39,85,50]},{"color":[354,74,50]},{"color":[318,2,50]},{"color":[13,7,50]},{"color":[359,86,50]},{"color":[205,31,50]},{"color":[322,95,50]},{"color":[75,4,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158529406	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,16,50]},{"color":[89,76,50]},{"color":[230,42,50]},{"color":[222,3,50]},{"color":[291,16,50]},{"color":[291,97,50]},{"color":[158,58,50]},{"color":[24,2,50]},{"color":[160,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,72,50]},{"color":[89,76,50]},{"color":[230,42,50]},{"color":[222,3,50]},{"color":[157,17,50]},{"color":[291,97,50]},{"color":[316,19,50]},{"color":[24,2,50]},{"color":[191,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[105,87,50]},{"color":[89,76,50]},{"color":[230,42,50]},{"color":[222,3,50]},{"color":[113,99,50]},{"color":[291,97,50]},{"color":[67,96,50]},{"color":[24,2,50]},{"color":[339,33,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158557991	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,96,50]},{"color":[233,40,50]},{"color":[264,36,50]},{"color":[294,15,50]},{"color":[357,37,50]},{"color":[10,20,50]},{"color":[114,93,50]},{"color":[6,45,50]},{"color":[187,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,26,50]},{"color":[105,87,50]},{"color":[264,36,50]},{"color":[134,62,50]},{"color":[239,0,50]},{"color":[10,20,50]},{"color":[114,93,50]},{"color":[273,76,50]},{"color":[305,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,60,50]},{"color":[196,66,50]},{"color":[264,36,50]},{"color":[339,76,50]},{"color":[99,31,50]},{"color":[10,20,50]},{"color":[114,93,50]},{"color":[59,99,50]},{"color":[95,11,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158603457	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,54,50]},{"color":[159,69,50]},{"color":[88,78,50]},{"color":[34,27,50]},{"color":[94,94,50]},{"color":[235,35,50]},{"color":[190,31,50]},{"color":[175,63,50]},{"color":[122,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,75,50]},{"color":[99,89,50]},{"color":[72,81,50]},{"color":[30,69,50]},{"color":[143,59,50]},{"color":[218,80,50]},{"color":[194,97,50]},{"color":[180,52,50]},{"color":[122,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[112,42,50]},{"color":[144,47,50]},{"color":[118,68,50]},{"color":[47,50,50]},{"color":[77,57,50]},{"color":[256,46,50]},{"color":[200,51,50]},{"color":[186,30,50]},{"color":[122,77,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158645271	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[79,73,50]},{"color":[286,18,50]},{"color":[83,95,50]},{"color":[61,75,50]},{"color":[248,30,50]},{"color":[353,90,50]},{"color":[302,47,50]},{"color":[349,82,50]},{"color":[60,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[79,73,50]},{"color":[262,15,50]},{"color":[83,95,50]},{"color":[54,32,50]},{"color":[248,30,50]},{"color":[353,90,50]},{"color":[302,47,50]},{"color":[349,82,50]},{"color":[48,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[79,73,50]},{"color":[172,73,50]},{"color":[83,95,50]},{"color":[8,37,50]},{"color":[248,30,50]},{"color":[353,90,50]},{"color":[302,47,50]},{"color":[349,82,50]},{"color":[209,15,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158704816	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,48,50]},{"color":[117,39,50]},{"color":[284,9,50]},{"color":[315,46,50]},{"color":[274,69,50]},{"color":[143,80,50]},{"color":[110,94,50]},{"color":[136,60,50]},{"color":[333,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,25,50]},{"color":[149,5,50]},{"color":[244,67,50]},{"color":[315,46,50]},{"color":[148,10,50]},{"color":[311,64,50]},{"color":[249,99,50]},{"color":[352,87,50]},{"color":[169,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[346,39,50]},{"color":[246,16,50]},{"color":[18,50,50]},{"color":[315,46,50]},{"color":[181,71,50]},{"color":[235,36,50]},{"color":[310,45,50]},{"color":[83,16,50]},{"color":[359,99,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158836295	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,78,50]},{"color":[348,27,50]},{"color":[156,78,50]},{"color":[1,69,50]},{"color":[58,44,50]},{"color":[177,25,50]},{"color":[303,52,50]},{"color":[121,97,50]},{"color":[328,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,74,50]},{"color":[19,10,50]},{"color":[124,67,50]},{"color":[347,63,50]},{"color":[95,34,50]},{"color":[79,1,50]},{"color":[270,42,50]},{"color":[121,97,50]},{"color":[313,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[191,41,50]},{"color":[297,4,50]},{"color":[94,29,50]},{"color":[356,39,50]},{"color":[86,64,50]},{"color":[208,19,50]},{"color":[277,97,50]},{"color":[121,97,50]},{"color":[314,71,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	9149-79167050-b7dd-481c-8985-a3e3da8a5fa5	1528158881720	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,29,50]},{"color":[165,49,50]},{"color":[343,95,50]},{"color":[287,36,50]},{"color":[105,26,50]},{"color":[22,16,50]},{"color":[169,80,50]},{"color":[168,60,50]},{"color":[284,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[291,34,50]},{"color":[202,94,50]},{"color":[54,84,50]},{"color":[13,75,50]},{"color":[105,26,50]},{"color":[113,33,50]},{"color":[234,21,50]},{"color":[44,86,50]},{"color":[110,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,53,50]},{"color":[157,57,50]},{"color":[342,28,50]},{"color":[306,58,50]},{"color":[105,26,50]},{"color":[95,1,50]},{"color":[141,72,50]},{"color":[144,86,50]},{"color":[333,51,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":8}}
