eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528158937790	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,45,50]},{"color":[89,44,50]},{"color":[50,98,50]},{"color":[3,46,50]},{"color":[331,69,50]},{"color":[164,43,50]},{"color":[311,36,50]},{"color":[44,92,50]},{"color":[4,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,45,50]},{"color":[242,69,50]},{"color":[50,98,50]},{"color":[3,46,50]},{"color":[114,1,50]},{"color":[164,43,50]},{"color":[311,36,50]},{"color":[222,57,50]},{"color":[59,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,45,50]},{"color":[106,4,50]},{"color":[50,98,50]},{"color":[3,46,50]},{"color":[172,70,50]},{"color":[164,43,50]},{"color":[311,36,50]},{"color":[24,47,50]},{"color":[161,65,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528158953426	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,34,50]},{"color":[81,61,50]},{"color":[284,53,50]},{"color":[298,55,50]},{"color":[222,12,50]},{"color":[193,19,50]},{"color":[28,42,50]},{"color":[352,91,50]},{"color":[222,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,71,50]},{"color":[81,61,50]},{"color":[284,53,50]},{"color":[16,33,50]},{"color":[222,12,50]},{"color":[193,19,50]},{"color":[28,42,50]},{"color":[284,30,50]},{"color":[29,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,83,50]},{"color":[81,61,50]},{"color":[284,53,50]},{"color":[337,76,50]},{"color":[222,12,50]},{"color":[193,19,50]},{"color":[28,42,50]},{"color":[189,14,50]},{"color":[123,2,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528158970919	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[190,28,50]},{"color":[322,2,50]},{"color":[344,11,50]},{"color":[353,7,50]},{"color":[279,97,50]},{"color":[230,32,50]},{"color":[173,80,50]},{"color":[252,77,50]},{"color":[91,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[83,1,50]},{"color":[243,10,50]},{"color":[88,3,50]},{"color":[343,21,50]},{"color":[279,97,50]},{"color":[261,65,50]},{"color":[161,95,50]},{"color":[252,77,50]},{"color":[91,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[227,74,50]},{"color":[305,64,50]},{"color":[96,87,50]},{"color":[275,95,50]},{"color":[279,97,50]},{"color":[180,82,50]},{"color":[7,18,50]},{"color":[252,77,50]},{"color":[91,72,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528158981623	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,12,50]},{"color":[189,96,50]},{"color":[19,95,50]},{"color":[67,30,50]},{"color":[4,13,50]},{"color":[98,69,50]},{"color":[259,21,50]},{"color":[33,67,50]},{"color":[12,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,12,50]},{"color":[189,96,50]},{"color":[217,67,50]},{"color":[67,30,50]},{"color":[4,13,50]},{"color":[317,92,50]},{"color":[259,21,50]},{"color":[33,67,50]},{"color":[12,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,12,50]},{"color":[189,96,50]},{"color":[275,54,50]},{"color":[67,30,50]},{"color":[4,13,50]},{"color":[14,10,50]},{"color":[259,21,50]},{"color":[33,67,50]},{"color":[12,85,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528159022443	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,31,50]},{"color":[195,41,50]},{"color":[309,10,50]},{"color":[260,76,50]},{"color":[14,29,50]},{"color":[117,38,50]},{"color":[205,18,50]},{"color":[207,43,50]},{"color":[126,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[260,31,50]},{"color":[170,38,50]},{"color":[351,22,50]},{"color":[260,76,50]},{"color":[38,20,50]},{"color":[83,75,50]},{"color":[219,32,50]},{"color":[200,8,50]},{"color":[78,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,75,50]},{"color":[182,11,50]},{"color":[359,28,50]},{"color":[260,76,50]},{"color":[35,37,50]},{"color":[81,33,50]},{"color":[268,6,50]},{"color":[194,30,50]},{"color":[113,97,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528159117517	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,42,50]},{"color":[287,45,50]},{"color":[188,1,50]},{"color":[0,41,50]},{"color":[271,90,50]},{"color":[79,2,50]},{"color":[57,10,50]},{"color":[272,31,50]},{"color":[230,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,42,50]},{"color":[287,45,50]},{"color":[188,1,50]},{"color":[351,96,50]},{"color":[271,90,50]},{"color":[134,5,50]},{"color":[182,3,50]},{"color":[272,31,50]},{"color":[230,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,42,50]},{"color":[287,45,50]},{"color":[188,1,50]},{"color":[345,96,50]},{"color":[271,90,50]},{"color":[61,8,50]},{"color":[67,17,50]},{"color":[272,31,50]},{"color":[230,0,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528159128314	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[166,28,50]},{"color":[193,7,50]},{"color":[220,38,50]},{"color":[29,20,50]},{"color":[15,88,50]},{"color":[353,93,50]},{"color":[93,76,50]},{"color":[339,18,50]},{"color":[31,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,70,50]},{"color":[193,7,50]},{"color":[220,38,50]},{"color":[347,70,50]},{"color":[15,88,50]},{"color":[175,10,50]},{"color":[295,95,50]},{"color":[339,18,50]},{"color":[31,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[146,28,50]},{"color":[193,7,50]},{"color":[220,38,50]},{"color":[29,60,50]},{"color":[15,88,50]},{"color":[349,75,50]},{"color":[61,85,50]},{"color":[339,18,50]},{"color":[31,28,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528159159764	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,9,50]},{"color":[276,38,50]},{"color":[63,10,50]},{"color":[271,33,50]},{"color":[188,52,50]},{"color":[79,45,50]},{"color":[167,9,50]},{"color":[168,96,50]},{"color":[63,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,2,50]},{"color":[227,52,50]},{"color":[85,12,50]},{"color":[234,73,50]},{"color":[202,39,50]},{"color":[79,45,50]},{"color":[57,11,50]},{"color":[176,99,50]},{"color":[74,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,8,50]},{"color":[255,79,50]},{"color":[11,0,50]},{"color":[273,71,50]},{"color":[183,21,50]},{"color":[79,45,50]},{"color":[177,23,50]},{"color":[152,66,50]},{"color":[50,62,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528159183888	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[87,93,50]},{"color":[214,42,50]},{"color":[255,21,50]},{"color":[68,62,50]},{"color":[317,75,50]},{"color":[73,52,50]},{"color":[130,11,50]},{"color":[272,68,50]},{"color":[315,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[87,93,50]},{"color":[252,9,50]},{"color":[255,21,50]},{"color":[68,62,50]},{"color":[276,78,50]},{"color":[69,65,50]},{"color":[130,11,50]},{"color":[272,68,50]},{"color":[315,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[87,93,50]},{"color":[225,41,50]},{"color":[255,21,50]},{"color":[68,62,50]},{"color":[305,88,50]},{"color":[106,96,50]},{"color":[130,11,50]},{"color":[272,68,50]},{"color":[315,59,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	1844-2a44d690-09ff-49c9-8091-82d3b9b89a85	1528159232338	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,10,50]},{"color":[249,50,50]},{"color":[224,97,50]},{"color":[212,41,50]},{"color":[288,79,50]},{"color":[131,28,50]},{"color":[284,40,50]},{"color":[76,29,50]},{"color":[270,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,10,50]},{"color":[249,50,50]},{"color":[224,97,50]},{"color":[212,41,50]},{"color":[288,79,50]},{"color":[131,28,50]},{"color":[284,40,50]},{"color":[76,29,50]},{"color":[227,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,10,50]},{"color":[249,50,50]},{"color":[224,97,50]},{"color":[212,41,50]},{"color":[288,79,50]},{"color":[131,28,50]},{"color":[284,40,50]},{"color":[76,29,50]},{"color":[258,84,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":1}}
