eventType	type	gameid	time	roundNum	state
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161061473	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[240,15,50]},{"color":[171,97,50]},{"color":[57,54,50]},{"color":[66,33,50]},{"color":[52,21,50]},{"color":[114,50,50]},{"color":[36,43,50]},{"color":[80,22,50]},{"color":[348,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[299,7,50]},{"color":[139,64,50]},{"color":[57,54,50]},{"color":[53,61,50]},{"color":[84,13,50]},{"color":[87,50,50]},{"color":[39,9,50]},{"color":[51,19,50]},{"color":[348,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,5,50]},{"color":[140,82,50]},{"color":[57,54,50]},{"color":[53,90,50]},{"color":[121,30,50]},{"color":[73,25,50]},{"color":[14,18,50]},{"color":[164,6,50]},{"color":[348,28,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161085985	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,67,50]},{"color":[239,9,50]},{"color":[56,73,50]},{"color":[164,24,50]},{"color":[359,74,50]},{"color":[77,69,50]},{"color":[193,10,50]},{"color":[129,68,50]},{"color":[176,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[344,74,50]},{"color":[33,12,50]},{"color":[56,73,50]},{"color":[164,24,50]},{"color":[359,74,50]},{"color":[273,84,50]},{"color":[193,10,50]},{"color":[129,68,50]},{"color":[176,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,30,50]},{"color":[219,40,50]},{"color":[56,73,50]},{"color":[164,24,50]},{"color":[359,74,50]},{"color":[60,76,50]},{"color":[193,10,50]},{"color":[129,68,50]},{"color":[176,72,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161107312	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,66,50]},{"color":[278,48,50]},{"color":[337,9,50]},{"color":[87,75,50]},{"color":[28,0,50]},{"color":[151,51,50]},{"color":[313,15,50]},{"color":[131,94,50]},{"color":[293,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,66,50]},{"color":[58,61,50]},{"color":[58,94,50]},{"color":[74,26,50]},{"color":[28,0,50]},{"color":[309,11,50]},{"color":[119,95,50]},{"color":[282,93,50]},{"color":[296,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,66,50]},{"color":[123,60,50]},{"color":[257,52,50]},{"color":[56,96,50]},{"color":[28,0,50]},{"color":[285,56,50]},{"color":[184,18,50]},{"color":[341,28,50]},{"color":[84,42,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161125120	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,7,50]},{"color":[73,43,50]},{"color":[286,27,50]},{"color":[157,13,50]},{"color":[251,84,50]},{"color":[324,86,50]},{"color":[284,93,50]},{"color":[193,71,50]},{"color":[232,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[267,95,50]},{"color":[294,58,50]},{"color":[155,3,50]},{"color":[325,24,50]},{"color":[323,61,50]},{"color":[79,36,50]},{"color":[164,67,50]},{"color":[11,16,50]},{"color":[232,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[48,43,50]},{"color":[263,2,50]},{"color":[143,37,50]},{"color":[243,61,50]},{"color":[5,40,50]},{"color":[182,96,50]},{"color":[96,90,50]},{"color":[126,46,50]},{"color":[232,4,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161147233	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,28,50]},{"color":[193,98,50]},{"color":[226,1,50]},{"color":[197,67,50]},{"color":[185,43,50]},{"color":[73,35,50]},{"color":[22,72,50]},{"color":[0,7,50]},{"color":[153,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,48,50]},{"color":[193,98,50]},{"color":[305,42,50]},{"color":[197,67,50]},{"color":[185,43,50]},{"color":[73,35,50]},{"color":[22,72,50]},{"color":[0,7,50]},{"color":[174,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,88,50]},{"color":[193,98,50]},{"color":[137,67,50]},{"color":[197,67,50]},{"color":[185,43,50]},{"color":[73,35,50]},{"color":[22,72,50]},{"color":[0,7,50]},{"color":[213,80,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161166147	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,67,50]},{"color":[42,49,50]},{"color":[251,64,50]},{"color":[225,72,50]},{"color":[57,1,50]},{"color":[127,0,50]},{"color":[293,16,50]},{"color":[143,77,50]},{"color":[136,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,75,50]},{"color":[17,27,50]},{"color":[31,38,50]},{"color":[137,68,50]},{"color":[57,1,50]},{"color":[336,40,50]},{"color":[194,40,50]},{"color":[297,0,50]},{"color":[351,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,20,50]},{"color":[9,8,50]},{"color":[52,31,50]},{"color":[149,73,50]},{"color":[57,1,50]},{"color":[319,56,50]},{"color":[205,20,50]},{"color":[53,12,50]},{"color":[359,26,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161191510	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,46,50]},{"color":[188,8,50]},{"color":[118,90,50]},{"color":[119,5,50]},{"color":[49,49,50]},{"color":[104,11,50]},{"color":[197,78,50]},{"color":[56,75,50]},{"color":[356,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,46,50]},{"color":[188,8,50]},{"color":[118,90,50]},{"color":[51,89,50]},{"color":[49,49,50]},{"color":[104,11,50]},{"color":[197,78,50]},{"color":[228,8,50]},{"color":[356,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,46,50]},{"color":[188,8,50]},{"color":[118,90,50]},{"color":[7,86,50]},{"color":[49,49,50]},{"color":[104,11,50]},{"color":[197,78,50]},{"color":[145,95,50]},{"color":[356,51,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161215526	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,28,50]},{"color":[117,43,50]},{"color":[226,7,50]},{"color":[40,3,50]},{"color":[350,59,50]},{"color":[133,73,50]},{"color":[62,62,50]},{"color":[172,22,50]},{"color":[336,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,28,50]},{"color":[117,43,50]},{"color":[40,80,50]},{"color":[40,3,50]},{"color":[350,59,50]},{"color":[323,59,50]},{"color":[235,45,50]},{"color":[172,22,50]},{"color":[336,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,28,50]},{"color":[117,43,50]},{"color":[83,49,50]},{"color":[40,3,50]},{"color":[350,59,50]},{"color":[64,56,50]},{"color":[276,9,50]},{"color":[172,22,50]},{"color":[336,60,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161242148	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,98,50]},{"color":[156,31,50]},{"color":[348,7,50]},{"color":[277,69,50]},{"color":[140,66,50]},{"color":[347,35,50]},{"color":[125,94,50]},{"color":[341,3,50]},{"color":[142,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,47,50]},{"color":[156,31,50]},{"color":[251,28,50]},{"color":[277,69,50]},{"color":[140,66,50]},{"color":[62,11,50]},{"color":[125,94,50]},{"color":[341,3,50]},{"color":[272,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,18,50]},{"color":[156,31,50]},{"color":[244,76,50]},{"color":[277,69,50]},{"color":[140,66,50]},{"color":[101,30,50]},{"color":[125,94,50]},{"color":[341,3,50]},{"color":[307,23,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161286971	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[64,22,50]},{"color":[43,90,50]},{"color":[265,45,50]},{"color":[314,59,50]},{"color":[290,51,50]},{"color":[224,23,50]},{"color":[91,50,50]},{"color":[29,93,50]},{"color":[220,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,86,50]},{"color":[111,64,50]},{"color":[265,45,50]},{"color":[314,59,50]},{"color":[290,51,50]},{"color":[41,78,50]},{"color":[91,50,50]},{"color":[99,56,50]},{"color":[60,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,74,50]},{"color":[109,42,50]},{"color":[265,45,50]},{"color":[314,59,50]},{"color":[290,51,50]},{"color":[45,53,50]},{"color":[91,50,50]},{"color":[101,82,50]},{"color":[38,26,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":5}}
