eventType	gameid	time	roundNum	obj
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147111225	1	{"type":"Utterance","sender":"speaker","contents":"hello!","time":1528147111225}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147114448	1	{"type":"Utterance","sender":"listener","contents":"hi","time":1528147114448}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147142354	1	{"type":"Utterance","sender":"speaker","contents":"the 6th square is gray, similar to the 3rd","time":1528147142354}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147189185	2	{"type":"Utterance","sender":"speaker","contents":"There are two bottom squares that are the exact same green","time":1528147189185}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147221309	3	{"type":"Utterance","sender":"speaker","contents":"the central square is a light blue","time":1528147221309}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147256151	4	{"type":"Utterance","sender":"speaker","contents":"The is a light blue square on the bottom row.","time":1528147256151}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147275065	5	{"type":"Utterance","sender":"speaker","contents":"3rd square is violet","time":1528147275065}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147323054	6	{"type":"Utterance","sender":"speaker","contents":"There is a bright teal square in the bottom row.","time":1528147323054}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147338380	7	{"type":"Utterance","sender":"speaker","contents":"8th vivid green","time":1528147338380}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147364855	8	{"type":"Utterance","sender":"speaker","contents":"Bright red square in the top row.","time":1528147364855}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147377807	9	{"type":"Utterance","sender":"speaker","contents":"6th yellowish","time":1528147377807}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147408095	10	{"type":"Utterance","sender":"speaker","contents":"brown, orange, then purple on bottom row","time":1528147408095}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147449994	11	{"type":"Utterance","sender":"speaker","contents":"6th is pale blue, 8th pale green","time":1528147449994}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147498523	12	{"type":"Utterance","sender":"speaker","contents":"green, grey-blue, brown top row","time":1528147498523}
utterance	6165-643f06f5-c772-4d31-ab7e-fc8b47126e03	1528147520987	13	{"type":"Utterance","sender":"speaker","contents":"all shades of green in the central row","time":1528147520987}
