eventType	gameid	time	roundNum	obj
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147750183	1	{"type":"Utterance","sender":"speaker","contents":"dark purple on top left","time":1528147750183}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147785629	2	{"type":"Utterance","sender":"speaker","contents":"grayish purple top right","time":1528147785629}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147802153	3	{"type":"Utterance","sender":"speaker","contents":"light purple on top left","time":1528147802153}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147827190	4	{"type":"Utterance","sender":"speaker","contents":"yellow bottom middle","time":1528147827190}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147844035	5	{"type":"Utterance","sender":"speaker","contents":"purple bottom middle","time":1528147844035}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147866204	6	{"type":"Utterance","sender":"speaker","contents":"purple top right","time":1528147866204}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147880167	7	{"type":"Utterance","sender":"speaker","contents":"light blue top right","time":1528147880167}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147902462	8	{"type":"Utterance","sender":"speaker","contents":"lime green bottom right","time":1528147902462}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147924137	9	{"type":"Utterance","sender":"speaker","contents":"orange/gray on bottom left","time":1528147924137}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147949704	9	{"type":"Utterance","sender":"speaker","contents":"dark orange bottom left","time":1528147949704}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147966891	10	{"type":"Utterance","sender":"speaker","contents":"brown top right","time":1528147966891}
utterance	4156-101a6c08-35cf-4074-b00c-50cd58e9e5ad	1528147986818	11	{"type":"Utterance","sender":"speaker","contents":"gray bottom left","time":1528147986818}
