eventType	gameid	time	roundNum	obj
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158188657	1	{"type":"Utterance","sender":"speaker","contents":"hi","time":1528158188657}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158192003	1	{"type":"Utterance","sender":"listener","contents":"hello","time":1528158192003}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158210820	1	{"type":"Utterance","sender":"speaker","contents":"going to think about a strategy, chime in if you already have one to make this efficient","time":1528158210820}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158229420	1	{"type":"Utterance","sender":"listener","contents":"what is the middle square?","time":1528158229420}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158241806	1	{"type":"Utterance","sender":"speaker","contents":"cyan, middle shade of the 3","time":1528158241806}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158282475	2	{"type":"Utterance","sender":"listener","contents":"top right is purple","time":1528158282475}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158293555	2	{"type":"Utterance","sender":"listener","contents":"top right referring to the top right of the 9 boxes","time":1528158293555}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158305296	2	{"type":"Utterance","sender":"speaker","contents":"Okay but you have to guess which one now","time":1528158305296}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158316581	2	{"type":"Utterance","sender":"listener","contents":"oh my bad","time":1528158316581}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158335674	2	{"type":"Utterance","sender":"speaker","contents":"The top right square is not bright green or purple","time":1528158335674}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158363608	3	{"type":"Utterance","sender":"speaker","contents":"top left is the brightest shade of pink","time":1528158363608}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158384514	4	{"type":"Utterance","sender":"speaker","contents":"This has two blue squares in the left and right bottom corners","time":1528158384514}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158421013	5	{"type":"Utterance","sender":"speaker","contents":"two dark blue squares, almost same shade, bottom row","time":1528158421013}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158447799	6	{"type":"Utterance","sender":"speaker","contents":"This one has a purple in the top left hand corner","time":1528158447799}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158471909	7	{"type":"Utterance","sender":"speaker","contents":"middle left is yellow","time":1528158471909}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158509749	8	{"type":"Utterance","sender":"speaker","contents":"The top and bottom left hand corner are a bright purple","time":1528158509749}
utterance	5612-5c88c9c6-08f9-4a85-9d55-f13bee5d9f26	1528158522672	8	{"type":"Utterance","sender":"listener","contents":"i see two like that","time":1528158522672}
