eventType	gameid	time	roundNum	obj
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158536752	1	{"type":"Utterance","sender":"listener","contents":"i'm ready :)","time":1528158536752}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158551307	1	{"type":"Utterance","sender":"speaker","contents":"there is a teal colored block","time":1528158551307}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158568459	1	{"type":"Utterance","sender":"listener","contents":"where? what color is top left block?","time":1528158568459}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158586118	1	{"type":"Utterance","sender":"speaker","contents":"bottom right","time":1528158586118}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158593001	1	{"type":"Utterance","sender":"speaker","contents":"top left is purple","time":1528158593001}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158632180	2	{"type":"Utterance","sender":"speaker","contents":"brightest pink middle of right column","time":1528158632180}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158655437	2	{"type":"Utterance","sender":"listener","contents":"what's in the middle?","time":1528158655437}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158681498	2	{"type":"Utterance","sender":"speaker","contents":"look at the right column, then choose the one with the brightest pink block thre","time":1528158681498}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158687953	2	{"type":"Utterance","sender":"speaker","contents":"there","time":1528158687953}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158696235	2	{"type":"Utterance","sender":"listener","contents":"all of them are bright pink","time":1528158696235}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158708106	2	{"type":"Utterance","sender":"listener","contents":"is it more purply pink?","time":1528158708106}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158710052	2	{"type":"Utterance","sender":"speaker","contents":"some of them are duller, can you tell?","time":1528158710052}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158719452	2	{"type":"Utterance","sender":"speaker","contents":"it's the pinkest one","time":1528158719452}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158722338	2	{"type":"Utterance","sender":"speaker","contents":"not purple","time":1528158722338}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158754305	3	{"type":"Utterance","sender":"speaker","contents":"the one with the purplish-blue in the bottom left corner","time":1528158754305}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158796069	4	{"type":"Utterance","sender":"speaker","contents":"brown in the middle block of left column","time":1528158796069}
utterance	0067-e57d7967-3791-4fac-844c-4a8f8aa6e38a	1528158831081	5	{"type":"Utterance","sender":"speaker","contents":"right column, top two are close in shades of yellow","time":1528158831081}
