eventType	gameid	time	roundNum	obj
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161056047	1	{"type":"Utterance","sender":"speaker","contents":"Target has a bright yellow block on far left center.","time":1528161056047}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161079529	2	{"type":"Utterance","sender":"speaker","contents":"The top left is a dull purple","time":1528161079529}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161098179	3	{"type":"Utterance","sender":"speaker","contents":"Target has a double purple up top.","time":1528161098179}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161120389	4	{"type":"Utterance","sender":"speaker","contents":"top left is blue","time":1528161120389}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161139501	5	{"type":"Utterance","sender":"speaker","contents":"Target has dull green/brownish color top left.","time":1528161139501}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161164037	6	{"type":"Utterance","sender":"speaker","contents":"top left is hot pink","time":1528161164037}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161182363	7	{"type":"Utterance","sender":"speaker","contents":"bottom center is a dull yellow ","time":1528161182363}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161210478	8	{"type":"Utterance","sender":"speaker","contents":"top right is a greyish purple","time":1528161210478}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161236587	9	{"type":"Utterance","sender":"speaker","contents":"top right is a purple color","time":1528161236587}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161279269	10	{"type":"Utterance","sender":"speaker","contents":"the middle right is the brighter orange","time":1528161279269}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161326951	11	{"type":"Utterance","sender":"speaker","contents":"center is the greenest green ","time":1528161326951}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161334192	11	{"type":"Utterance","sender":"speaker","contents":"or brightest","time":1528161334192}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161364930	12	{"type":"Utterance","sender":"speaker","contents":"the bottom middle is olive green","time":1528161364930}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161389123	13	{"type":"Utterance","sender":"speaker","contents":"top left is green","time":1528161389123}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161426018	14	{"type":"Utterance","sender":"speaker","contents":"The middle left is the darker grey","time":1528161426018}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161458283	15	{"type":"Utterance","sender":"speaker","contents":"top center and right blocks are darker purples","time":1528161458283}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161490670	16	{"type":"Utterance","sender":"speaker","contents":"top right is green","time":1528161490670}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161508485	17	{"type":"Utterance","sender":"speaker","contents":"center is blue","time":1528161508485}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161536872	18	{"type":"Utterance","sender":"speaker","contents":"the bottom left is lime green","time":1528161536872}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161552421	19	{"type":"Utterance","sender":"speaker","contents":"top left is bright blue","time":1528161552421}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161578429	20	{"type":"Utterance","sender":"speaker","contents":"the top right is grey","time":1528161578429}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161593277	21	{"type":"Utterance","sender":"speaker","contents":"top right is pink","time":1528161593277}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161617118	22	{"type":"Utterance","sender":"speaker","contents":"The bottom right is bright blue","time":1528161617118}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161633783	23	{"type":"Utterance","sender":"speaker","contents":"top center is green","time":1528161633783}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161659850	24	{"type":"Utterance","sender":"speaker","contents":"middle left is pink","time":1528161659850}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161692772	25	{"type":"Utterance","sender":"speaker","contents":"top left is a dull pink","time":1528161692772}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161730180	26	{"type":"Utterance","sender":"speaker","contents":"the middle left is grey","time":1528161730180}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161752225	27	{"type":"Utterance","sender":"speaker","contents":"center left is purple","time":1528161752225}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161768859	28	{"type":"Utterance","sender":"speaker","contents":"the top left is sky blue","time":1528161768859}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161781462	29	{"type":"Utterance","sender":"speaker","contents":"top left is brown","time":1528161781462}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161821663	30	{"type":"Utterance","sender":"speaker","contents":"The middle bottom is brown","time":1528161821663}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161845751	31	{"type":"Utterance","sender":"speaker","contents":"top left and top center are gray","time":1528161845751}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161870010	32	{"type":"Utterance","sender":"speaker","contents":"middle right is dark blue","time":1528161870010}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161885988	33	{"type":"Utterance","sender":"speaker","contents":"bottom right is pink","time":1528161885988}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161911438	34	{"type":"Utterance","sender":"speaker","contents":"top right is sky blue","time":1528161911438}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161926844	35	{"type":"Utterance","sender":"speaker","contents":"center is the brighter blue","time":1528161926844}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161956513	36	{"type":"Utterance","sender":"speaker","contents":"top left and right are the brighter greens","time":1528161956513}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528161975328	37	{"type":"Utterance","sender":"speaker","contents":"center is pink","time":1528161975328}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162007419	38	{"type":"Utterance","sender":"speaker","contents":"the center is bright red","time":1528162007419}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162025483	39	{"type":"Utterance","sender":"speaker","contents":"left center is purple","time":1528162025483}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162043495	40	{"type":"Utterance","sender":"speaker","contents":"middle is red","time":1528162043495}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162056402	41	{"type":"Utterance","sender":"speaker","contents":"center is red","time":1528162056402}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162082742	42	{"type":"Utterance","sender":"speaker","contents":"middle left is blue","time":1528162082742}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162105611	43	{"type":"Utterance","sender":"speaker","contents":"bottom right is bright pink","time":1528162105611}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162124421	44	{"type":"Utterance","sender":"speaker","contents":"top left is dark pink","time":1528162124421}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162159504	45	{"type":"Utterance","sender":"speaker","contents":"center is the brighter purple, slightly","time":1528162159504}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162187028	46	{"type":"Utterance","sender":"speaker","contents":"top right is purple","time":1528162187028}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162205777	47	{"type":"Utterance","sender":"speaker","contents":"bottom right is bright blue","time":1528162205777}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162243597	48	{"type":"Utterance","sender":"speaker","contents":"middle right is the lightest purple","time":1528162243597}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162274580	49	{"type":"Utterance","sender":"speaker","contents":"top left is bright green","time":1528162274580}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162313629	50	{"type":"Utterance","sender":"speaker","contents":"top middle is more purplish blue","time":1528162313629}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162343370	51	{"type":"Utterance","sender":"speaker","contents":"bottom center is yellowish","time":1528162343370}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162358969	52	{"type":"Utterance","sender":"speaker","contents":"top left dark blue","time":1528162358969}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162379306	53	{"type":"Utterance","sender":"speaker","contents":"center is green","time":1528162379306}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162410613	54	{"type":"Utterance","sender":"speaker","contents":"bottom left and right are same purplish grey","time":1528162410613}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162434486	55	{"type":"Utterance","sender":"speaker","contents":"center is pink","time":1528162434486}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162451031	56	{"type":"Utterance","sender":"speaker","contents":"top left olive green","time":1528162451031}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162497844	57	{"type":"Utterance","sender":"speaker","contents":"center is a dull purple","time":1528162497844}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162520589	58	{"type":"Utterance","sender":"speaker","contents":"middle left is pink","time":1528162520589}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162558810	59	{"type":"Utterance","sender":"speaker","contents":"bottom right looks more blue.~~~~~~others look purple","time":1528162558810}
utterance	3763-d036c1f6-aeab-4a7a-a55c-4bfe7ca1463a	1528162603397	60	{"type":"Utterance","sender":"speaker","contents":"middle center is dull purple","time":1528162603397}
