eventType	gameid	time	roundNum	obj
state	123	1522289317190	0	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,49,50]},{"color":[123,47,50]},{"color":[357,58,50]},{"color":[97,92,50]},{"color":[29,67,50]},{"color":[278,69,50]},{"color":[280,48,50]},{"color":[307,84,50]},{"color":[109,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,46,50]},{"color":[150,25,50]},{"color":[351,80,50]},{"color":[61,80,50]},{"color":[34,37,50]},{"color":[295,60,50]},{"color":[293,55,50]},{"color":[302,95,50]},{"color":[143,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[299,29,50]},{"color":[168,72,50]},{"color":[13,58,50]},{"color":[83,46,50]},{"color":[26,84,50]},{"color":[198,10,50]},{"color":[284,84,50]},{"color":[287,50,50]},{"color":[162,77,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}}
state	123	1522289317190	1	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,38,50]},{"color":[219,69,50]},{"color":[193,77,50]},{"color":[66,54,50]},{"color":[104,60,50]},{"color":[300,37,50]},{"color":[201,17,50]},{"color":[5,63,50]},{"color":[293,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,74,50]},{"color":[175,94,50]},{"color":[236,29,50]},{"color":[250,95,50]},{"color":[195,30,50]},{"color":[176,95,50]},{"color":[99,44,50]},{"color":[191,49,50]},{"color":[94,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,36,50]},{"color":[250,23,50]},{"color":[199,31,50]},{"color":[55,91,50]},{"color":[90,75,50]},{"color":[259,35,50]},{"color":[204,64,50]},{"color":[18,85,50]},{"color":[326,59,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}}
state	123	1522289317190	2	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[2,15,50]},{"color":[65,66,50]},{"color":[305,7,50]},{"color":[281,25,50]},{"color":[276,28,50]},{"color":[179,92,50]},{"color":[114,15,50]},{"color":[310,29,50]},{"color":[241,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,7,50]},{"color":[117,80,50]},{"color":[341,28,50]},{"color":[266,52,50]},{"color":[262,79,50]},{"color":[183,79,50]},{"color":[119,45,50]},{"color":[3,17,50]},{"color":[272,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,3,50]},{"color":[100,96,50]},{"color":[286,24,50]},{"color":[228,18,50]},{"color":[271,43,50]},{"color":[181,43,50]},{"color":[140,39,50]},{"color":[303,8,50]},{"color":[265,46,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}}
state	123	1522289317190	3	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,72,50]},{"color":[25,84,50]},{"color":[40,20,50]},{"color":[259,93,50]},{"color":[15,64,50]},{"color":[132,93,50]},{"color":[228,53,50]},{"color":[315,99,50]},{"color":[215,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,61,50]},{"color":[70,61,50]},{"color":[225,43,50]},{"color":[106,72,50]},{"color":[204,19,50]},{"color":[228,13,50]},{"color":[14,10,50]},{"color":[97,9,50]},{"color":[54,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,94,50]},{"color":[61,76,50]},{"color":[209,41,50]},{"color":[136,44,50]},{"color":[214,42,50]},{"color":[179,9,50]},{"color":[320,15,50]},{"color":[126,18,50]},{"color":[63,62,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}}
state	123	1522289317190	4	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[282,2,50]},{"color":[325,68,50]},{"color":[40,20,50]},{"color":[98,64,50]},{"color":[31,31,50]},{"color":[33,28,50]},{"color":[317,22,50]},{"color":[33,53,50]},{"color":[56,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,79,50]},{"color":[214,98,50]},{"color":[304,45,50]},{"color":[43,34,50]},{"color":[224,91,50]},{"color":[229,66,50]},{"color":[194,5,50]},{"color":[307,23,50]},{"color":[136,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,67,50]},{"color":[44,35,50]},{"color":[61,59,50]},{"color":[334,84,50]},{"color":[238,13,50]},{"color":[347,84,50]},{"color":[150,86,50]},{"color":[221,72,50]},{"color":[312,0,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}}
state	123	1522289317190	5	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,60,50]},{"color":[25,28,50]},{"color":[182,93,50]},{"color":[107,16,50]},{"color":[164,2,50]},{"color":[135,91,50]},{"color":[4,74,50]},{"color":[107,38,50]},{"color":[195,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,30,50]},{"color":[7,19,50]},{"color":[190,87,50]},{"color":[153,41,50]},{"color":[223,4,50]},{"color":[90,84,50]},{"color":[20,50,50]},{"color":[138,25,50]},{"color":[236,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,52,50]},{"color":[185,1,50]},{"color":[178,62,50]},{"color":[119,52,50]},{"color":[196,33,50]},{"color":[134,72,50]},{"color":[19,24,50]},{"color":[143,17,50]},{"color":[278,1,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}}
state	123	1522289317190	6	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,75,50]},{"color":[220,72,50]},{"color":[175,24,50]},{"color":[347,99,50]},{"color":[313,88,50]},{"color":[83,4,50]},{"color":[4,75,50]},{"color":[70,22,50]},{"color":[6,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,84,50]},{"color":[243,21,50]},{"color":[173,5,50]},{"color":[6,96,50]},{"color":[316,59,50]},{"color":[275,1,50]},{"color":[17,52,50]},{"color":[98,27,50]},{"color":[17,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[158,91,50]},{"color":[230,85,50]},{"color":[157,25,50]},{"color":[2,59,50]},{"color":[335,69,50]},{"color":[154,7,50]},{"color":[21,32,50]},{"color":[45,20,50]},{"color":[8,64,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}}
state	123	1522289317190	7	{"type":"StateColorGrid","time":1522289317190,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,30,50]},{"color":[323,7,50]},{"color":[281,73,50]},{"color":[180,74,50]},{"color":[86,39,50]},{"color":[183,1,50]},{"color":[187,10,50]},{"color":[121,72,50]},{"color":[69,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[307,50,50]},{"color":[334,25,50]},{"color":[243,23,50]},{"color":[173,87,50]},{"color":[100,61,50]},{"color":[14,14,50]},{"color":[315,78,50]},{"color":[105,94,50]},{"color":[129,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,85,50]},{"color":[250,41,50]},{"color":[12,68,50]},{"color":[124,50,50]},{"color":[3,90,50]},{"color":[310,74,50]},{"color":[140,95,50]},{"color":[163,31,50]},{"color":[261,61,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}}
state	123	1522289317191	8	{"type":"StateColorGrid","time":1522289317191,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,11,50]},{"color":[260,65,50]},{"color":[114,28,50]},{"color":[21,89,50]},{"color":[169,94,50]},{"color":[265,63,50]},{"color":[25,83,50]},{"color":[193,49,50]},{"color":[116,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,1,50]},{"color":[228,75,50]},{"color":[100,45,50]},{"color":[31,73,50]},{"color":[149,84,50]},{"color":[228,88,50]},{"color":[37,71,50]},{"color":[198,82,50]},{"color":[154,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,44,50]},{"color":[195,38,50]},{"color":[281,94,50]},{"color":[65,57,50]},{"color":[216,79,50]},{"color":[149,14,50]},{"color":[123,18,50]},{"color":[171,78,50]},{"color":[16,27,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}}
state	123	1522289317191	9	{"type":"StateColorGrid","time":1522289317191,"state":{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,50,50]},{"color":[359,42,50]},{"color":[197,52,50]},{"color":[215,28,50]},{"color":[338,82,50]},{"color":[304,43,50]},{"color":[330,53,50]},{"color":[318,67,50]},{"color":[324,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[307,92,50]},{"color":[243,24,50]},{"color":[249,78,50]},{"color":[159,86,50]},{"color":[24,84,50]},{"color":[48,21,50]},{"color":[232,3,50]},{"color":[96,97,50]},{"color":[256,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[318,75,50]},{"color":[275,81,50]},{"color":[262,72,50]},{"color":[178,88,50]},{"color":[37,91,50]},{"color":[31,14,50]},{"color":[326,7,50]},{"color":[68,90,50]},{"color":[242,59,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}}
