eventType	type	gameid	time	roundNum	state
state	StateColorGrid	372	1522293421791	0	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,56,50]},{"color":[53,49,50]},{"color":[108,78,50]},{"color":[110,85,50]},{"color":[151,31,50]},{"color":[359,65,50]},{"color":[270,22,50]},{"color":[209,71,50]},{"color":[36,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,41,50]},{"color":[187,40,50]},{"color":[182,81,50]},{"color":[327,0,50]},{"color":[62,4,50]},{"color":[115,67,50]},{"color":[6,44,50]},{"color":[27,51,50]},{"color":[143,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[119,15,50]},{"color":[264,50,50]},{"color":[250,19,50]},{"color":[294,96,50]},{"color":[252,42,50]},{"color":[53,85,50]},{"color":[63,58,50]},{"color":[75,88,50]},{"color":[2,37,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	372	1522293421791	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,16,50]},{"color":[99,14,50]},{"color":[34,17,50]},{"color":[330,76,50]},{"color":[26,18,50]},{"color":[227,40,50]},{"color":[352,31,50]},{"color":[269,91,50]},{"color":[234,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,72,50]},{"color":[234,80,50]},{"color":[195,50,50]},{"color":[45,59,50]},{"color":[217,74,50]},{"color":[125,43,50]},{"color":[68,11,50]},{"color":[345,90,50]},{"color":[184,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,76,50]},{"color":[41,96,50]},{"color":[139,77,50]},{"color":[208,50,50]},{"color":[116,30,50]},{"color":[354,42,50]},{"color":[18,97,50]},{"color":[117,49,50]},{"color":[134,16,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	372	1522293421791	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,15,50]},{"color":[24,56,50]},{"color":[76,56,50]},{"color":[3,81,50]},{"color":[301,47,50]},{"color":[129,98,50]},{"color":[263,91,50]},{"color":[82,10,50]},{"color":[268,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,20,50]},{"color":[4,66,50]},{"color":[114,66,50]},{"color":[11,53,50]},{"color":[330,87,50]},{"color":[122,42,50]},{"color":[259,34,50]},{"color":[71,36,50]},{"color":[245,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,13,50]},{"color":[11,84,50]},{"color":[72,74,50]},{"color":[12,23,50]},{"color":[332,23,50]},{"color":[79,81,50]},{"color":[290,78,50]},{"color":[38,31,50]},{"color":[231,57,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	372	1522293421791	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,88,50]},{"color":[174,37,50]},{"color":[171,52,50]},{"color":[23,27,50]},{"color":[42,57,50]},{"color":[333,19,50]},{"color":[330,9,50]},{"color":[292,66,50]},{"color":[170,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,70,50]},{"color":[85,1,50]},{"color":[54,55,50]},{"color":[133,98,50]},{"color":[152,71,50]},{"color":[207,32,50]},{"color":[3,48,50]},{"color":[123,61,50]},{"color":[278,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,2,50]},{"color":[325,82,50]},{"color":[10,89,50]},{"color":[323,94,50]},{"color":[327,72,50]},{"color":[131,28,50]},{"color":[177,57,50]},{"color":[251,93,50]},{"color":[112,42,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	372	1522293421791	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[230,75,50]},{"color":[22,92,50]},{"color":[37,77,50]},{"color":[269,86,50]},{"color":[169,51,50]},{"color":[41,61,50]},{"color":[137,63,50]},{"color":[358,72,50]},{"color":[268,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,15,50]},{"color":[117,73,50]},{"color":[179,59,50]},{"color":[50,13,50]},{"color":[294,93,50]},{"color":[197,6,50]},{"color":[228,66,50]},{"color":[29,7,50]},{"color":[74,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,10,50]},{"color":[74,37,50]},{"color":[190,35,50]},{"color":[28,1,50]},{"color":[315,71,50]},{"color":[186,31,50]},{"color":[250,30,50]},{"color":[328,0,50]},{"color":[89,87,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	372	1522293421791	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[3,76,50]},{"color":[336,88,50]},{"color":[28,12,50]},{"color":[78,9,50]},{"color":[109,3,50]},{"color":[48,16,50]},{"color":[294,9,50]},{"color":[210,6,50]},{"color":[7,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[4,45,50]},{"color":[354,87,50]},{"color":[23,21,50]},{"color":[99,13,50]},{"color":[193,33,50]},{"color":[75,23,50]},{"color":[22,18,50]},{"color":[210,61,50]},{"color":[359,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[12,53,50]},{"color":[342,89,50]},{"color":[2,4,50]},{"color":[71,33,50]},{"color":[20,0,50]},{"color":[118,18,50]},{"color":[20,3,50]},{"color":[231,33,50]},{"color":[350,94,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	372	1522293421791	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[130,73,50]},{"color":[88,56,50]},{"color":[356,13,50]},{"color":[91,67,50]},{"color":[173,44,50]},{"color":[283,35,50]},{"color":[125,59,50]},{"color":[228,24,50]},{"color":[50,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,84,50]},{"color":[147,45,50]},{"color":[349,18,50]},{"color":[74,53,50]},{"color":[170,13,50]},{"color":[303,84,50]},{"color":[159,97,50]},{"color":[306,0,50]},{"color":[33,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,56,50]},{"color":[142,76,50]},{"color":[232,1,50]},{"color":[93,84,50]},{"color":[132,28,50]},{"color":[326,80,50]},{"color":[166,69,50]},{"color":[317,14,50]},{"color":[39,87,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	372	1522293421791	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,50,50]},{"color":[305,99,50]},{"color":[136,30,50]},{"color":[194,43,50]},{"color":[64,22,50]},{"color":[207,27,50]},{"color":[254,7,50]},{"color":[130,91,50]},{"color":[154,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,35,50]},{"color":[131,93,50]},{"color":[281,80,50]},{"color":[240,21,50]},{"color":[126,76,50]},{"color":[116,24,50]},{"color":[92,31,50]},{"color":[177,45,50]},{"color":[82,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,93,50]},{"color":[23,8,50]},{"color":[152,91,50]},{"color":[293,90,50]},{"color":[333,12,50]},{"color":[315,19,50]},{"color":[344,80,50]},{"color":[277,37,50]},{"color":[356,12,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	372	1522293421791	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,81,50]},{"color":[327,49,50]},{"color":[10,4,50]},{"color":[65,40,50]},{"color":[93,25,50]},{"color":[46,63,50]},{"color":[343,46,50]},{"color":[180,43,50]},{"color":[77,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,21,50]},{"color":[293,95,50]},{"color":[89,7,50]},{"color":[79,74,50]},{"color":[155,43,50]},{"color":[55,85,50]},{"color":[319,61,50]},{"color":[190,41,50]},{"color":[62,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,19,50]},{"color":[320,65,50]},{"color":[39,29,50]},{"color":[90,33,50]},{"color":[130,30,50]},{"color":[49,43,50]},{"color":[308,17,50]},{"color":[149,22,50]},{"color":[91,92,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	372	1522293421791	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,31,50]},{"color":[129,94,50]},{"color":[344,22,50]},{"color":[343,44,50]},{"color":[224,8,50]},{"color":[256,76,50]},{"color":[262,93,50]},{"color":[18,97,50]},{"color":[309,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,27,50]},{"color":[63,33,50]},{"color":[161,0,50]},{"color":[218,87,50]},{"color":[113,59,50]},{"color":[40,58,50]},{"color":[186,48,50]},{"color":[93,98,50]},{"color":[203,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,65,50]},{"color":[43,53,50]},{"color":[100,9,50]},{"color":[237,95,50]},{"color":[117,21,50]},{"color":[34,92,50]},{"color":[169,50,50]},{"color":[85,80,50]},{"color":[194,86,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	372	1522293421791	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[307,22,50]},{"color":[262,80,50]},{"color":[162,61,50]},{"color":[108,40,50]},{"color":[14,55,50]},{"color":[248,38,50]},{"color":[154,66,50]},{"color":[106,51,50]},{"color":[314,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,48,50]},{"color":[246,64,50]},{"color":[120,30,50]},{"color":[136,76,50]},{"color":[26,88,50]},{"color":[256,23,50]},{"color":[82,29,50]},{"color":[150,48,50]},{"color":[291,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,33,50]},{"color":[221,68,50]},{"color":[101,51,50]},{"color":[88,77,50]},{"color":[30,96,50]},{"color":[276,74,50]},{"color":[102,37,50]},{"color":[122,23,50]},{"color":[297,52,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	372	1522293421791	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,29,50]},{"color":[295,91,50]},{"color":[306,84,50]},{"color":[146,13,50]},{"color":[9,39,50]},{"color":[347,74,50]},{"color":[65,45,50]},{"color":[186,13,50]},{"color":[241,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,78,50]},{"color":[57,18,50]},{"color":[108,22,50]},{"color":[206,37,50]},{"color":[63,33,50]},{"color":[60,41,50]},{"color":[267,63,50]},{"color":[275,16,50]},{"color":[353,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[271,89,50]},{"color":[63,49,50]},{"color":[173,12,50]},{"color":[229,25,50]},{"color":[102,54,50]},{"color":[43,74,50]},{"color":[234,92,50]},{"color":[359,16,50]},{"color":[29,28,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
