eventType	gameid	time	roundNum	lClicked	mouseX	mouseY
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200047785	1	1	453	214
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200063118	2	1	430	247
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200080238	3	0	200	239
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200097126	4	1	390	316
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200109054	5	0	117	167
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200127272	6	1	384	175
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200136248	7	1	440	170
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200147845	8	1	387	223
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200156116	9	0	266	224
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200166757	10	0	112	114
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200178574	11	1	423	232
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200194431	12	0	182	240
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200205809	13	0	192	239
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200219201	14	1	491	213
action	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200239899	15	1	350	300
