eventType	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200482850	1	0	1	0	1	0	1	4	175	14	50	137	94	50	222	36	50	7	33	50	61	52	50	267	78	50	310	6	50	244	80	50	283	23	50	175	14	50	110	37	50	222	36	50	7	33	50	231	73	50	308	43	50	310	6	50	244	80	50	355	18	50	175	14	50	110	37	50	222	36	50	7	33	50	231	73	50	308	43	50	310	6	50	244	80	50	355	18	50	175	14	50	137	94	50	222	36	50	7	33	50	61	52	50	267	78	50	310	6	50	244	80	50	283	23	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200511250	2	0	0	1	0	0	1	3	285	16	50	312	45	50	166	80	50	204	66	50	29	94	50	173	11	50	322	93	50	127	32	50	93	17	50	285	16	50	312	45	50	166	80	50	204	66	50	127	54	50	173	11	50	322	93	50	200	78	50	43	14	50	285	16	50	312	45	50	166	80	50	204	66	50	29	94	50	173	11	50	322	93	50	127	32	50	93	17	50	285	16	50	312	45	50	166	80	50	204	66	50	127	54	50	173	11	50	322	93	50	200	78	50	43	14	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200537665	3	1	0	1	1	0	1	2	151	52	50	107	86	50	4	48	50	71	36	50	74	86	50	52	19	50	55	5	50	19	76	50	65	27	50	151	52	50	107	86	50	4	48	50	21	59	50	183	63	50	52	19	50	55	5	50	19	76	50	65	27	50	151	52	50	107	86	50	4	48	50	71	36	50	74	86	50	52	19	50	55	5	50	19	76	50	65	27	50	151	52	50	107	86	50	4	48	50	21	59	50	183	63	50	52	19	50	55	5	50	19	76	50	65	27	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200574759	4	0	1	0	0	1	0	1	173	44	50	282	26	50	50	12	50	185	17	50	339	82	50	90	11	50	344	60	50	149	96	50	174	87	50	173	44	50	282	26	50	50	12	50	185	17	50	339	82	50	90	11	50	344	60	50	315	20	50	174	87	50	173	44	50	282	26	50	50	12	50	185	17	50	339	82	50	90	11	50	344	60	50	149	96	50	174	87	50	173	44	50	282	26	50	50	12	50	185	17	50	339	82	50	90	11	50	344	60	50	315	20	50	174	87	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200612951	5	0	1	0	0	1	0	4	351	52	50	209	31	50	47	44	50	235	32	50	253	72	50	67	61	50	312	8	50	187	10	50	215	52	50	351	52	50	209	31	50	47	44	50	235	32	50	253	72	50	66	73	50	170	68	50	303	54	50	268	84	50	351	52	50	209	31	50	47	44	50	235	32	50	253	72	50	67	61	50	312	8	50	187	10	50	215	52	50	351	52	50	209	31	50	47	44	50	235	32	50	253	72	50	66	73	50	170	68	50	303	54	50	268	84	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200661670	6	0	1	0	0	1	0	8	309	2	50	142	89	50	335	65	50	109	50	50	117	86	50	357	95	50	160	67	50	39	49	50	137	70	50	309	2	50	146	54	50	29	3	50	279	45	50	43	85	50	187	37	50	324	87	50	43	20	50	63	94	50	309	2	50	142	89	50	335	65	50	109	50	50	117	86	50	357	95	50	160	67	50	39	49	50	137	70	50	309	2	50	146	54	50	29	3	50	279	45	50	43	85	50	187	37	50	324	87	50	43	20	50	63	94	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200698113	7	0	1	0	1	0	1	1	102	26	50	292	99	50	2	20	50	81	99	50	17	32	50	242	12	50	130	17	50	353	86	50	36	97	50	270	59	50	292	99	50	2	20	50	81	99	50	17	32	50	242	12	50	130	17	50	353	86	50	36	97	50	270	59	50	292	99	50	2	20	50	81	99	50	17	32	50	242	12	50	130	17	50	353	86	50	36	97	50	102	26	50	292	99	50	2	20	50	81	99	50	17	32	50	242	12	50	130	17	50	353	86	50	36	97	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200730500	8	1	0	1	0	1	0	6	59	95	50	336	76	50	351	14	50	245	72	50	178	39	50	73	99	50	64	77	50	190	98	50	26	52	50	59	95	50	318	2	50	6	48	50	109	42	50	178	39	50	123	65	50	351	61	50	190	98	50	354	71	50	59	95	50	318	2	50	6	48	50	109	42	50	178	39	50	123	65	50	351	61	50	190	98	50	354	71	50	59	95	50	336	76	50	351	14	50	245	72	50	178	39	50	73	99	50	64	77	50	190	98	50	26	52	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200754079	9	1	0	1	0	1	0	8	255	68	50	290	48	50	12	27	50	81	62	50	56	69	50	275	93	50	90	99	50	100	35	50	170	30	50	226	20	50	290	48	50	154	37	50	148	23	50	193	69	50	196	24	50	224	5	50	237	7	50	257	30	50	226	20	50	290	48	50	154	37	50	148	23	50	193	69	50	196	24	50	224	5	50	237	7	50	257	30	50	255	68	50	290	48	50	12	27	50	81	62	50	56	69	50	275	93	50	90	99	50	100	35	50	170	30	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200797951	10	0	1	0	1	0	1	7	291	19	50	40	30	50	1	87	50	337	86	50	157	9	50	212	92	50	174	0	50	132	89	50	167	48	50	141	19	50	253	87	50	1	87	50	320	95	50	263	3	50	240	61	50	174	0	50	128	74	50	298	66	50	141	19	50	253	87	50	1	87	50	320	95	50	263	3	50	240	61	50	174	0	50	128	74	50	298	66	50	291	19	50	40	30	50	1	87	50	337	86	50	157	9	50	212	92	50	174	0	50	132	89	50	167	48	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200841532	11	0	0	1	1	1	0	9	160	39	50	304	75	50	241	8	50	350	32	50	288	17	50	126	90	50	125	5	50	147	94	50	79	76	50	190	44	50	32	86	50	155	25	50	10	31	50	67	2	50	163	54	50	132	79	50	340	78	50	219	17	50	190	44	50	32	86	50	155	25	50	10	31	50	67	2	50	163	54	50	132	79	50	340	78	50	219	17	50	160	39	50	304	75	50	241	8	50	350	32	50	288	17	50	126	90	50	125	5	50	147	94	50	79	76	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200867673	12	1	1	0	1	1	0	5	131	22	50	5	74	50	125	82	50	61	24	50	311	54	50	47	40	50	350	52	50	93	27	50	319	66	50	358	70	50	5	74	50	62	13	50	124	7	50	311	54	50	47	40	50	214	0	50	0	1	50	319	66	50	131	22	50	5	74	50	125	82	50	61	24	50	311	54	50	47	40	50	350	52	50	93	27	50	319	66	50	358	70	50	5	74	50	62	13	50	124	7	50	311	54	50	47	40	50	214	0	50	0	1	50	319	66	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200899026	13	0	0	1	1	1	0	7	159	64	50	292	70	50	271	12	50	299	71	50	150	43	50	158	5	50	186	66	50	300	44	50	278	48	50	159	64	50	66	41	50	166	6	50	325	66	50	235	39	50	158	5	50	262	39	50	287	44	50	189	78	50	159	64	50	66	41	50	166	6	50	325	66	50	235	39	50	158	5	50	262	39	50	287	44	50	189	78	50	159	64	50	292	70	50	271	12	50	299	71	50	150	43	50	158	5	50	186	66	50	300	44	50	278	48	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200920727	14	0	1	0	1	0	1	5	301	93	50	49	67	50	73	65	50	230	82	50	279	18	50	254	43	50	250	47	50	123	55	50	67	42	50	47	61	50	49	67	50	140	50	50	230	82	50	279	18	50	304	79	50	271	47	50	123	55	50	13	43	50	47	61	50	49	67	50	140	50	50	230	82	50	279	18	50	304	79	50	271	47	50	123	55	50	13	43	50	301	93	50	49	67	50	73	65	50	230	82	50	279	18	50	254	43	50	250	47	50	123	55	50	67	42	50
state	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200978368	15	0	1	0	0	1	0	2	314	46	50	263	1	50	300	85	50	245	0	50	83	72	50	36	35	50	177	43	50	210	98	50	300	31	50	314	46	50	263	1	50	300	85	50	266	90	50	83	72	50	31	72	50	177	43	50	210	98	50	300	31	50	314	46	50	263	1	50	300	85	50	245	0	50	83	72	50	36	35	50	177	43	50	210	98	50	300	31	50	314	46	50	263	1	50	300	85	50	266	90	50	83	72	50	31	72	50	177	43	50	210	98	50	300	31	50
