eventType	gameid	time	roundNum	sender	contents
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200024516	1	speaker	Aqua on middle left
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200059707	2	speaker	Pink on middle bottom
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200073338	3	speaker	Orange on top left
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200089196	4	speaker	Red on top left
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200094316	4	speaker	right top right
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200104629	5	speaker	pink in center
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200117878	6	speaker	blue, no green
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200134917	7	speaker	red in center
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200144461	8	speaker	yellow in top middle
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200154311	9	speaker	yellow in center
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200163458	10	speaker	blue in center
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200175243	11	speaker	green in middle right
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200189973	12	speaker	red backwards l shape
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200203045	13	speaker	pink in top left corner
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200216399	14	speaker	two green in lower row
utterance	4398-e006c8ab-5404-4512-af48-94f4eb19df20	1511200230999	15	speaker	aqua in lower right AND left
