eventType	gameid	time	roundNum	sender	contents
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200480700	1	speaker	yellow in the middle
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200498538	2	speaker	orange in the middle
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200536156	3	speaker	blue in the middle
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200572765	4	speaker	green center bottom
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200609119	5	speaker	green pink and purrple bottom row
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200658633	6	speaker	the one with all the greens, and red middle right
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200696772	7	speaker	green top left corner
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200724839	8	speaker	three red-ish corners
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200750578	9	speaker	blue middle
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200795295	10	speaker	light purple/grey top left corner
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200839157	11	speaker	green/gray top left corner, with pink next to it
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200865472	12	speaker	two reds next to each other on the top row
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200894995	13	speaker	blue bottom left corner, green center
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200917712	14	speaker	pink top left corner
utterance	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200964547	15	speaker	the one that DOESNT have bright blue and orange on the middle row
