type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	59	1516251555026	0	0	1	0	1	0	1	4	282	70	50	2	49	50	46	59	50	267	77	50	65	65	50	184	56	50	150	60	50	228	8	50	204	45	50	282	70	50	2	49	50	269	34	50	267	77	50	179	72	50	184	56	50	278	22	50	228	8	50	45	4	50	282	70	50	2	49	50	269	34	50	267	77	50	179	72	50	184	56	50	278	22	50	228	8	50	45	4	50	282	70	50	2	49	50	46	59	50	267	77	50	65	65	50	184	56	50	150	60	50	228	8	50	204	45	50
StateGrid	59	1516251555026	1	0	1	0	0	1	0	2	61	0	50	5	62	50	254	41	50	358	97	50	210	99	50	201	53	50	309	72	50	100	31	50	60	97	50	163	86	50	5	62	50	248	1	50	358	97	50	210	99	50	201	53	50	309	72	50	100	31	50	60	97	50	61	0	50	5	62	50	254	41	50	358	97	50	210	99	50	201	53	50	309	72	50	100	31	50	60	97	50	163	86	50	5	62	50	248	1	50	358	97	50	210	99	50	201	53	50	309	72	50	100	31	50	60	97	50
StateGrid	59	1516251555026	2	1	0	1	0	1	0	2	254	76	50	121	82	50	40	93	50	4	52	50	10	47	50	161	44	50	324	16	50	42	19	50	312	16	50	254	76	50	121	82	50	40	93	50	4	52	50	10	47	50	161	44	50	249	7	50	42	19	50	230	54	50	254	76	50	121	82	50	40	93	50	4	52	50	10	47	50	161	44	50	249	7	50	42	19	50	230	54	50	254	76	50	121	82	50	40	93	50	4	52	50	10	47	50	161	44	50	324	16	50	42	19	50	312	16	50
StateGrid	59	1516251555026	3	1	0	1	1	0	1	3	273	25	50	222	98	50	154	24	50	295	87	50	299	49	50	243	85	50	288	10	50	15	35	50	317	54	50	223	17	50	222	98	50	154	24	50	295	87	50	73	32	50	243	85	50	216	7	50	15	35	50	317	54	50	273	25	50	222	98	50	154	24	50	295	87	50	299	49	50	243	85	50	288	10	50	15	35	50	317	54	50	223	17	50	222	98	50	154	24	50	295	87	50	73	32	50	243	85	50	216	7	50	15	35	50	317	54	50
StateGrid	59	1516251555026	4	0	1	0	1	0	1	4	172	93	50	148	46	50	81	89	50	292	82	50	81	89	50	215	8	50	230	83	50	240	47	50	356	9	50	96	25	50	148	46	50	136	87	50	292	82	50	81	89	50	194	74	50	1	74	50	240	47	50	356	9	50	96	25	50	148	46	50	136	87	50	292	82	50	81	89	50	194	74	50	1	74	50	240	47	50	356	9	50	172	93	50	148	46	50	81	89	50	292	82	50	81	89	50	215	8	50	230	83	50	240	47	50	356	9	50
StateGrid	59	1516251555027	5	0	0	1	0	0	1	4	342	3	50	88	50	50	80	11	50	196	40	50	200	48	50	159	47	50	19	34	50	251	93	50	264	62	50	296	14	50	77	21	50	80	11	50	196	40	50	182	54	50	159	47	50	253	32	50	251	93	50	264	62	50	342	3	50	88	50	50	80	11	50	196	40	50	200	48	50	159	47	50	19	34	50	251	93	50	264	62	50	296	14	50	77	21	50	80	11	50	196	40	50	182	54	50	159	47	50	253	32	50	251	93	50	264	62	50
StateGrid	59	1516251555027	6	1	1	0	0	0	1	1	113	75	50	266	2	50	104	41	50	282	46	50	6	15	50	142	6	50	100	16	50	201	27	50	44	65	50	113	75	50	266	2	50	104	41	50	282	46	50	6	15	50	142	6	50	100	16	50	201	27	50	58	53	50	113	75	50	266	2	50	104	41	50	282	46	50	6	15	50	142	6	50	100	16	50	201	27	50	58	53	50	113	75	50	266	2	50	104	41	50	282	46	50	6	15	50	142	6	50	100	16	50	201	27	50	44	65	50
StateGrid	59	1516251555027	7	0	1	0	0	1	0	1	117	85	50	129	58	50	230	60	50	226	50	50	40	52	50	240	96	50	141	47	50	342	90	50	200	63	50	117	85	50	129	58	50	230	60	50	226	50	50	40	52	50	240	96	50	214	43	50	342	90	50	200	63	50	117	85	50	129	58	50	230	60	50	226	50	50	40	52	50	240	96	50	141	47	50	342	90	50	200	63	50	117	85	50	129	58	50	230	60	50	226	50	50	40	52	50	240	96	50	214	43	50	342	90	50	200	63	50
StateGrid	59	1516251555027	8	1	0	1	1	0	1	5	185	80	50	246	43	50	181	89	50	262	84	50	283	82	50	333	50	50	272	54	50	271	80	50	158	88	50	274	35	50	33	56	50	252	47	50	262	84	50	203	6	50	82	83	50	272	54	50	271	80	50	158	88	50	185	80	50	246	43	50	181	89	50	262	84	50	283	82	50	333	50	50	272	54	50	271	80	50	158	88	50	274	35	50	33	56	50	252	47	50	262	84	50	203	6	50	82	83	50	272	54	50	271	80	50	158	88	50
StateGrid	59	1516251555027	9	0	0	1	0	0	1	1	106	30	50	234	31	50	130	23	50	176	97	50	283	57	50	283	31	50	56	9	50	269	29	50	238	80	50	21	36	50	234	31	50	130	23	50	176	97	50	283	57	50	283	31	50	56	9	50	269	29	50	238	80	50	106	30	50	234	31	50	130	23	50	176	97	50	283	57	50	283	31	50	56	9	50	269	29	50	238	80	50	21	36	50	234	31	50	130	23	50	176	97	50	283	57	50	283	31	50	56	9	50	269	29	50	238	80	50
