type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	60	1517079966356	0	0	1	0	0	1	0	5	296	63	50	27	2	50	267	98	50	237	60	50	220	45	50	146	16	50	177	24	50	52	71	50	279	79	50	296	63	50	337	1	50	135	6	50	237	60	50	187	38	50	146	16	50	83	71	50	52	71	50	314	17	50	296	63	50	27	2	50	267	98	50	237	60	50	220	45	50	146	16	50	177	24	50	52	71	50	279	79	50	296	63	50	337	1	50	135	6	50	237	60	50	187	38	50	146	16	50	83	71	50	52	71	50	314	17	50
StateGrid	60	1517079966357	1	1	0	1	0	1	0	2	117	63	50	105	43	50	347	73	50	345	0	50	219	75	50	109	90	50	174	27	50	352	37	50	9	96	50	117	63	50	203	96	50	347	73	50	345	0	50	219	75	50	109	90	50	357	23	50	352	37	50	9	96	50	117	63	50	203	96	50	347	73	50	345	0	50	219	75	50	109	90	50	357	23	50	352	37	50	9	96	50	117	63	50	105	43	50	347	73	50	345	0	50	219	75	50	109	90	50	174	27	50	352	37	50	9	96	50
StateGrid	60	1517079966357	2	0	0	1	0	0	1	7	92	87	50	65	33	50	75	96	50	353	87	50	152	20	50	342	83	50	340	49	50	120	67	50	174	31	50	223	72	50	194	67	50	75	96	50	207	60	50	92	97	50	215	76	50	340	49	50	295	50	50	153	37	50	92	87	50	65	33	50	75	96	50	353	87	50	152	20	50	342	83	50	340	49	50	120	67	50	174	31	50	223	72	50	194	67	50	75	96	50	207	60	50	92	97	50	215	76	50	340	49	50	295	50	50	153	37	50
StateGrid	60	1517079966357	3	0	1	0	0	1	0	3	75	5	50	0	10	50	208	26	50	333	94	50	335	26	50	297	72	50	10	26	50	115	85	50	90	78	50	75	5	50	101	46	50	208	26	50	18	89	50	335	26	50	135	27	50	10	26	50	115	85	50	90	78	50	75	5	50	0	10	50	208	26	50	333	94	50	335	26	50	297	72	50	10	26	50	115	85	50	90	78	50	75	5	50	101	46	50	208	26	50	18	89	50	335	26	50	135	27	50	10	26	50	115	85	50	90	78	50
StateGrid	60	1517079966357	4	1	1	0	1	1	0	2	174	3	50	180	86	50	230	81	50	140	41	50	0	77	50	304	94	50	218	46	50	241	15	50	173	72	50	174	3	50	299	22	50	230	81	50	140	41	50	0	77	50	304	94	50	17	30	50	241	15	50	173	72	50	174	3	50	180	86	50	230	81	50	140	41	50	0	77	50	304	94	50	218	46	50	241	15	50	173	72	50	174	3	50	299	22	50	230	81	50	140	41	50	0	77	50	304	94	50	17	30	50	241	15	50	173	72	50
StateGrid	60	1517079966357	5	1	1	0	0	0	1	3	43	27	50	63	74	50	315	15	50	323	56	50	66	85	50	183	77	50	262	85	50	19	62	50	266	20	50	43	27	50	63	74	50	315	15	50	323	56	50	66	85	50	309	26	50	153	3	50	19	62	50	311	59	50	43	27	50	63	74	50	315	15	50	323	56	50	66	85	50	309	26	50	153	3	50	19	62	50	311	59	50	43	27	50	63	74	50	315	15	50	323	56	50	66	85	50	183	77	50	262	85	50	19	62	50	266	20	50
StateGrid	60	1517079966357	6	1	1	0	0	0	1	8	52	11	50	191	16	50	289	70	50	35	45	50	275	6	50	89	19	50	307	65	50	206	72	50	355	78	50	119	99	50	159	7	50	289	70	50	39	60	50	93	88	50	43	42	50	15	82	50	166	4	50	101	13	50	119	99	50	159	7	50	289	70	50	39	60	50	93	88	50	43	42	50	15	82	50	166	4	50	101	13	50	52	11	50	191	16	50	289	70	50	35	45	50	275	6	50	89	19	50	307	65	50	206	72	50	355	78	50
StateGrid	60	1517079966357	7	1	1	0	0	0	1	5	328	97	50	47	41	50	75	34	50	209	27	50	160	77	50	348	45	50	272	33	50	83	33	50	25	96	50	328	97	50	185	21	50	217	72	50	29	84	50	160	77	50	348	45	50	272	33	50	181	14	50	97	45	50	328	97	50	185	21	50	217	72	50	29	84	50	160	77	50	348	45	50	272	33	50	181	14	50	97	45	50	328	97	50	47	41	50	75	34	50	209	27	50	160	77	50	348	45	50	272	33	50	83	33	50	25	96	50
StateGrid	60	1517079966358	8	0	1	0	0	1	0	8	151	16	50	13	12	50	83	75	50	78	88	50	162	17	50	273	84	50	304	86	50	62	97	50	155	90	50	282	84	50	1	62	50	7	95	50	153	10	50	162	17	50	339	52	50	268	13	50	212	53	50	51	91	50	151	16	50	13	12	50	83	75	50	78	88	50	162	17	50	273	84	50	304	86	50	62	97	50	155	90	50	282	84	50	1	62	50	7	95	50	153	10	50	162	17	50	339	52	50	268	13	50	212	53	50	51	91	50
StateGrid	60	1517079966358	9	0	1	0	0	1	0	7	167	20	50	28	97	50	44	45	50	27	60	50	331	16	50	14	21	50	174	77	50	317	3	50	26	14	50	56	67	50	28	97	50	44	45	50	179	26	50	208	37	50	325	88	50	184	40	50	166	12	50	251	6	50	167	20	50	28	97	50	44	45	50	27	60	50	331	16	50	14	21	50	174	77	50	317	3	50	26	14	50	56	67	50	28	97	50	44	45	50	179	26	50	208	37	50	325	88	50	184	40	50	166	12	50	251	6	50
StateGrid	60	1517079966358	10	1	1	0	1	1	0	1	19	15	50	42	44	50	110	31	50	56	14	50	8	52	50	13	15	50	274	96	50	151	4	50	301	45	50	19	15	50	42	44	50	110	31	50	56	14	50	8	52	50	13	15	50	274	96	50	161	27	50	301	45	50	19	15	50	42	44	50	110	31	50	56	14	50	8	52	50	13	15	50	274	96	50	151	4	50	301	45	50	19	15	50	42	44	50	110	31	50	56	14	50	8	52	50	13	15	50	274	96	50	161	27	50	301	45	50
StateGrid	60	1517079966358	11	0	1	0	0	1	0	6	71	69	50	34	3	50	256	15	50	83	23	50	279	29	50	111	6	50	42	3	50	340	89	50	170	84	50	300	78	50	34	3	50	256	15	50	296	46	50	279	29	50	309	81	50	303	95	50	237	49	50	45	75	50	71	69	50	34	3	50	256	15	50	83	23	50	279	29	50	111	6	50	42	3	50	340	89	50	170	84	50	300	78	50	34	3	50	256	15	50	296	46	50	279	29	50	309	81	50	303	95	50	237	49	50	45	75	50
StateGrid	60	1517079966358	12	0	0	1	0	0	1	5	142	17	50	327	86	50	190	11	50	163	47	50	343	10	50	116	7	50	311	73	50	203	15	50	148	74	50	13	22	50	358	92	50	212	46	50	163	47	50	343	10	50	240	57	50	311	73	50	96	62	50	148	74	50	142	17	50	327	86	50	190	11	50	163	47	50	343	10	50	116	7	50	311	73	50	203	15	50	148	74	50	13	22	50	358	92	50	212	46	50	163	47	50	343	10	50	240	57	50	311	73	50	96	62	50	148	74	50
