type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	112	1520709760162	0	0	0	1	0	0	1	9	78	99	50	168	18	50	231	44	50	277	85	50	129	1	50	283	94	50	122	3	50	295	25	50	140	57	50	206	17	50	90	99	50	96	88	50	36	64	50	184	31	50	324	21	50	48	34	50	21	87	50	247	56	50	78	99	50	168	18	50	231	44	50	277	85	50	129	1	50	283	94	50	122	3	50	295	25	50	140	57	50	206	17	50	90	99	50	96	88	50	36	64	50	184	31	50	324	21	50	48	34	50	21	87	50	247	56	50
StateGrid	112	1520709760162	1	1	0	1	1	0	1	9	119	69	50	37	58	50	38	72	50	344	78	50	212	32	50	261	51	50	105	26	50	43	76	50	110	57	50	317	4	50	122	56	50	151	27	50	225	59	50	176	56	50	308	17	50	355	0	50	12	12	50	227	83	50	119	69	50	37	58	50	38	72	50	344	78	50	212	32	50	261	51	50	105	26	50	43	76	50	110	57	50	317	4	50	122	56	50	151	27	50	225	59	50	176	56	50	308	17	50	355	0	50	12	12	50	227	83	50
StateGrid	112	1520709760162	2	0	0	1	0	0	1	9	240	95	50	250	16	50	147	62	50	93	88	50	132	6	50	63	41	50	343	32	50	56	2	50	224	40	50	236	50	50	158	49	50	12	9	50	70	85	50	292	72	50	125	88	50	351	11	50	338	71	50	325	75	50	240	95	50	250	16	50	147	62	50	93	88	50	132	6	50	63	41	50	343	32	50	56	2	50	224	40	50	236	50	50	158	49	50	12	9	50	70	85	50	292	72	50	125	88	50	351	11	50	338	71	50	325	75	50
StateGrid	112	1520709760162	3	1	0	1	1	0	1	9	328	75	50	193	47	50	269	90	50	74	60	50	125	49	50	234	36	50	128	47	50	42	64	50	271	7	50	14	31	50	333	58	50	305	91	50	159	94	50	45	49	50	104	28	50	117	12	50	322	3	50	84	18	50	328	75	50	193	47	50	269	90	50	74	60	50	125	49	50	234	36	50	128	47	50	42	64	50	271	7	50	14	31	50	333	58	50	305	91	50	159	94	50	45	49	50	104	28	50	117	12	50	322	3	50	84	18	50
StateGrid	112	1520709760163	4	1	1	0	1	1	0	9	308	28	50	102	92	50	333	86	50	279	77	50	43	51	50	279	13	50	90	78	50	73	22	50	19	96	50	118	36	50	57	9	50	304	90	50	131	74	50	345	99	50	359	56	50	147	50	50	357	77	50	260	68	50	308	28	50	102	92	50	333	86	50	279	77	50	43	51	50	279	13	50	90	78	50	73	22	50	19	96	50	118	36	50	57	9	50	304	90	50	131	74	50	345	99	50	359	56	50	147	50	50	357	77	50	260	68	50
StateGrid	112	1520709760163	5	1	1	0	0	0	1	9	225	33	50	206	33	50	18	14	50	202	13	50	306	1	50	107	11	50	122	0	50	235	50	50	170	24	50	329	89	50	161	16	50	151	31	50	301	42	50	300	71	50	220	71	50	80	41	50	187	68	50	329	26	50	329	89	50	161	16	50	151	31	50	301	42	50	300	71	50	220	71	50	80	41	50	187	68	50	329	26	50	225	33	50	206	33	50	18	14	50	202	13	50	306	1	50	107	11	50	122	0	50	235	50	50	170	24	50
StateGrid	112	1520709760163	6	1	0	1	0	1	0	9	320	52	50	328	36	50	31	39	50	264	34	50	256	77	50	254	75	50	308	44	50	60	88	50	201	74	50	221	8	50	354	68	50	140	9	50	227	88	50	196	25	50	290	93	50	152	6	50	78	59	50	359	3	50	221	8	50	354	68	50	140	9	50	227	88	50	196	25	50	290	93	50	152	6	50	78	59	50	359	3	50	320	52	50	328	36	50	31	39	50	264	34	50	256	77	50	254	75	50	308	44	50	60	88	50	201	74	50
StateGrid	112	1520709760163	7	1	0	1	0	1	0	9	90	23	50	124	43	50	117	40	50	208	88	50	150	59	50	319	68	50	335	24	50	126	44	50	130	28	50	166	7	50	277	51	50	340	75	50	285	3	50	68	93	50	146	7	50	232	16	50	208	84	50	333	74	50	166	7	50	277	51	50	340	75	50	285	3	50	68	93	50	146	7	50	232	16	50	208	84	50	333	74	50	90	23	50	124	43	50	117	40	50	208	88	50	150	59	50	319	68	50	335	24	50	126	44	50	130	28	50
StateGrid	112	1520709760163	8	1	1	0	0	0	1	9	351	4	50	263	51	50	303	8	50	55	67	50	65	11	50	185	6	50	147	16	50	249	75	50	174	32	50	8	92	50	255	70	50	339	62	50	158	83	50	21	23	50	312	21	50	257	13	50	301	12	50	183	47	50	8	92	50	255	70	50	339	62	50	158	83	50	21	23	50	312	21	50	257	13	50	301	12	50	183	47	50	351	4	50	263	51	50	303	8	50	55	67	50	65	11	50	185	6	50	147	16	50	249	75	50	174	32	50
StateGrid	112	1520709760163	9	0	1	0	1	0	1	9	131	18	50	261	23	50	157	24	50	295	55	50	56	22	50	335	2	50	220	5	50	305	14	50	89	19	50	56	67	50	328	2	50	319	13	50	257	68	50	339	7	50	268	56	50	252	72	50	24	20	50	189	90	50	56	67	50	328	2	50	319	13	50	257	68	50	339	7	50	268	56	50	252	72	50	24	20	50	189	90	50	131	18	50	261	23	50	157	24	50	295	55	50	56	22	50	335	2	50	220	5	50	305	14	50	89	19	50
