type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	skewProb	colorDiffMin	colorDiffMax	condition	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	380	1520719279979	0	0	1	0	1	0	1	9	0	11.75	53.25	COLORDIFFS	188	32	50	16	76	50	189	16	50	95	96	50	212	73	50	56	16	50	290	74	50	50	2	50	352	11	50	143	93	50	18	5	50	168	49	50	50	42	50	315	51	50	223	19	50	350	9	50	124	54	50	151	71	50	143	93	50	18	5	50	168	49	50	50	42	50	315	51	50	223	19	50	350	9	50	124	54	50	151	71	50	188	32	50	16	76	50	189	16	50	95	96	50	212	73	50	56	16	50	290	74	50	50	2	50	352	11	50
StateGrid	380	1520719279979	1	1	1	0	0	0	1	9	0	15.5	74.5	COLORDIFFS	252	24	50	337	1	50	258	50	50	102	50	50	140	57	50	101	15	50	213	70	50	182	98	50	212	95	50	122	51	50	251	56	50	180	52	50	63	67	50	202	87	50	267	69	50	39	1	50	318	45	50	161	96	50	122	51	50	251	56	50	180	52	50	63	67	50	202	87	50	267	69	50	39	1	50	318	45	50	161	96	50	252	24	50	337	1	50	258	50	50	102	50	50	140	57	50	101	15	50	213	70	50	182	98	50	212	95	50
StateGrid	380	1520719279979	2	1	1	0	0	0	1	9	0	5.75	19.25	COLORDIFFS	283	25	50	260	99	50	277	90	50	230	91	50	284	42	50	267	11	50	212	90	50	116	87	50	282	96	50	326	50	50	275	54	50	264	87	50	243	35	50	306	52	50	305	3	50	245	35	50	156	99	50	299	99	50	326	50	50	275	54	50	264	87	50	243	35	50	306	52	50	305	3	50	245	35	50	156	99	50	299	99	50	283	25	50	260	99	50	277	90	50	230	91	50	284	42	50	267	11	50	212	90	50	116	87	50	282	96	50
StateGrid	380	1520719279979	3	0	1	0	0	1	0	9	0	14.75	70.25	COLORDIFFS	77	22	50	90	37	50	355	20	50	321	47	50	110	0	50	282	98	50	49	47	50	230	62	50	178	46	50	198	0	50	309	30	50	241	63	50	176	26	50	2	66	50	227	78	50	145	4	50	277	88	50	56	48	50	77	22	50	90	37	50	355	20	50	321	47	50	110	0	50	282	98	50	49	47	50	230	62	50	178	46	50	198	0	50	309	30	50	241	63	50	176	26	50	2	66	50	227	78	50	145	4	50	277	88	50	56	48	50
StateGrid	380	1520719279979	4	1	0	1	0	1	0	9	0	9.5	40.5	COLORDIFFS	19	60	50	111	18	50	144	30	50	39	6	50	146	96	50	211	51	50	145	47	50	102	95	50	359	71	50	320	51	50	118	64	50	279	9	50	338	29	50	50	3	50	56	8	50	172	95	50	43	77	50	230	0	50	320	51	50	118	64	50	279	9	50	338	29	50	50	3	50	56	8	50	172	95	50	43	77	50	230	0	50	19	60	50	111	18	50	144	30	50	39	6	50	146	96	50	211	51	50	145	47	50	102	95	50	359	71	50
StateGrid	380	1520719279979	5	1	0	1	1	0	1	9	0	18.5	91.5	COLORDIFFS	122	14	50	253	8	50	277	4	50	135	55	50	246	51	50	30	44	50	71	67	50	307	11	50	256	4	50	174	64	50	356	37	50	345	97	50	221	2	50	0	60	50	292	87	50	103	9	50	276	47	50	112	97	50	122	14	50	253	8	50	277	4	50	135	55	50	246	51	50	30	44	50	71	67	50	307	11	50	256	4	50	174	64	50	356	37	50	345	97	50	221	2	50	0	60	50	292	87	50	103	9	50	276	47	50	112	97	50
StateGrid	380	1520719279979	6	1	0	1	1	0	1	9	0	11	49	COLORDIFFS	187	81	50	126	72	50	67	75	50	348	45	50	308	82	50	261	21	50	247	10	50	153	2	50	170	51	50	287	97	50	191	33	50	175	18	50	224	94	50	309	1	50	146	21	50	48	32	50	55	83	50	291	13	50	187	81	50	126	72	50	67	75	50	348	45	50	308	82	50	261	21	50	247	10	50	153	2	50	170	51	50	287	97	50	191	33	50	175	18	50	224	94	50	309	1	50	146	21	50	48	32	50	55	83	50	291	13	50
StateGrid	380	1520719279979	7	1	0	1	1	0	1	9	0	14	66	COLORDIFFS	128	37	50	95	15	50	306	76	50	328	62	50	104	20	50	117	86	50	67	11	50	255	58	50	150	22	50	122	97	50	132	71	50	341	1	50	5	72	50	255	47	50	217	14	50	334	29	50	21	11	50	308	91	50	128	37	50	95	15	50	306	76	50	328	62	50	104	20	50	117	86	50	67	11	50	255	58	50	150	22	50	122	97	50	132	71	50	341	1	50	5	72	50	255	47	50	217	14	50	334	29	50	21	11	50	308	91	50
StateGrid	380	1520719279979	8	1	1	0	0	0	1	9	0	13.25	61.75000000000001	COLORDIFFS	163	39	50	302	82	50	51	52	50	357	12	50	191	15	50	59	8	50	326	20	50	126	17	50	254	27	50	24	46	50	348	55	50	257	25	50	194	20	50	20	19	50	307	38	50	223	1	50	167	57	50	97	61	50	24	46	50	348	55	50	257	25	50	194	20	50	20	19	50	307	38	50	223	1	50	167	57	50	97	61	50	163	39	50	302	82	50	51	52	50	357	12	50	191	15	50	59	8	50	326	20	50	126	17	50	254	27	50
StateGrid	380	1520719279979	9	1	1	0	0	0	1	9	0	5	15	COLORDIFFS	27	91	50	12	14	50	56	19	50	222	35	50	193	68	50	293	31	50	159	56	50	178	48	50	113	34	50	30	74	50	336	2	50	96	14	50	231	53	50	199	58	50	274	66	50	158	38	50	189	96	50	81	60	50	30	74	50	336	2	50	96	14	50	231	53	50	199	58	50	274	66	50	158	38	50	189	96	50	81	60	50	27	91	50	12	14	50	56	19	50	222	35	50	193	68	50	293	31	50	159	56	50	178	48	50	113	34	50
