type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	711	1518208659220	0	1	1	0	1	1	0	1	205	13	50	105	2	50	205	13	50	105	2	50
StateGrid	711	1518208659220	1	0	0	1	0	0	1	1	267	92	50	353	68	50	267	92	50	353	68	50
StateGrid	711	1518208659220	2	1	1	0	1	1	0	1	174	17	50	134	64	50	174	17	50	134	64	50
StateGrid	711	1518208659220	3	1	1	0	1	1	0	1	157	70	50	311	79	50	157	70	50	311	79	50
StateGrid	711	1518208659220	4	0	0	1	1	1	0	1	53	37	50	113	11	50	113	11	50	53	37	50
StateGrid	711	1518208659220	5	1	1	0	1	1	0	1	201	34	50	268	60	50	201	34	50	268	60	50
StateGrid	711	1518208659220	6	1	1	0	1	1	0	1	119	46	50	147	78	50	119	46	50	147	78	50
StateGrid	711	1518208659220	7	1	0	1	0	1	0	1	335	87	50	130	45	50	130	45	50	335	87	50
StateGrid	711	1518208659220	8	1	0	1	0	1	0	1	67	33	50	17	54	50	17	54	50	67	33	50
StateGrid	711	1518208659220	9	1	0	1	0	1	0	1	125	76	50	316	2	50	316	2	50	125	76	50
StateGrid	711	1518208659220	10	1	1	0	1	1	0	1	223	14	50	303	32	50	223	14	50	303	32	50
StateGrid	711	1518208659220	11	1	0	1	1	0	1	1	131	8	50	143	72	50	131	8	50	143	72	50
StateGrid	711	1518208659220	12	0	0	1	1	1	0	1	103	47	50	204	89	50	204	89	50	103	47	50
StateGrid	711	1518208659220	13	0	1	0	0	1	0	1	204	46	50	192	26	50	204	46	50	192	26	50
StateGrid	711	1518208659220	14	1	0	1	1	0	1	1	102	26	50	233	93	50	102	26	50	233	93	50
StateGrid	711	1518208659220	15	1	0	1	1	0	1	1	160	48	50	139	22	50	160	48	50	139	22	50
StateGrid	711	1518208659220	16	0	0	1	0	0	1	1	313	20	50	270	42	50	313	20	50	270	42	50
StateGrid	711	1518208659220	17	1	0	1	0	1	0	1	260	89	50	273	11	50	273	11	50	260	89	50
StateGrid	711	1518208659220	18	0	1	0	0	1	0	1	206	45	50	273	80	50	206	45	50	273	80	50
StateGrid	711	1518208659220	19	0	0	1	0	0	1	1	301	37	50	187	26	50	301	37	50	187	26	50
