type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	922	1518208670323	0	0	1	0	0	1	0	2	324	59	50	248	17	50	126	47	50	268	30	50	324	59	50	162	76	50	50	67	50	268	30	50	324	59	50	248	17	50	126	47	50	268	30	50	324	59	50	162	76	50	50	67	50	268	30	50
StateGrid	922	1518208670323	1	0	1	0	1	0	1	2	35	38	50	322	49	50	190	30	50	76	14	50	35	38	50	62	6	50	190	30	50	137	65	50	35	38	50	62	6	50	190	30	50	137	65	50	35	38	50	322	49	50	190	30	50	76	14	50
StateGrid	922	1518208670323	2	1	0	1	0	1	0	3	202	81	50	359	56	50	157	47	50	249	57	50	202	81	50	351	79	50	26	5	50	54	31	50	202	81	50	351	79	50	26	5	50	54	31	50	202	81	50	359	56	50	157	47	50	249	57	50
StateGrid	922	1518208670323	3	0	0	1	1	1	0	3	305	6	50	311	43	50	43	46	50	77	63	50	305	6	50	338	12	50	48	90	50	194	32	50	305	6	50	338	12	50	48	90	50	194	32	50	305	6	50	311	43	50	43	46	50	77	63	50
StateGrid	922	1518208670323	4	1	0	1	0	1	0	4	189	37	50	31	96	50	100	7	50	294	7	50	308	75	50	115	22	50	289	82	50	73	95	50	308	75	50	115	22	50	289	82	50	73	95	50	189	37	50	31	96	50	100	7	50	294	7	50
StateGrid	922	1518208670323	5	0	1	0	0	1	0	3	104	73	50	189	66	50	320	9	50	260	44	50	168	62	50	189	66	50	274	92	50	180	23	50	104	73	50	189	66	50	320	9	50	260	44	50	168	62	50	189	66	50	274	92	50	180	23	50
StateGrid	922	1518208670323	6	1	1	0	0	0	1	2	235	3	50	12	57	50	320	5	50	61	86	50	235	3	50	307	75	50	320	5	50	157	95	50	235	3	50	307	75	50	320	5	50	157	95	50	235	3	50	12	57	50	320	5	50	61	86	50
StateGrid	922	1518208670323	7	1	0	1	1	0	1	1	236	40	50	280	53	50	42	83	50	66	42	50	236	40	50	280	53	50	332	34	50	66	42	50	236	40	50	280	53	50	42	83	50	66	42	50	236	40	50	280	53	50	332	34	50	66	42	50
StateGrid	922	1518208670339	8	1	1	0	0	0	1	4	262	21	50	55	85	50	152	40	50	203	11	50	277	65	50	48	87	50	121	92	50	38	43	50	277	65	50	48	87	50	121	92	50	38	43	50	262	21	50	55	85	50	152	40	50	203	11	50
StateGrid	922	1518208670339	9	1	1	0	0	0	1	4	43	66	50	139	5	50	189	43	50	111	62	50	31	8	50	297	67	50	87	46	50	215	32	50	31	8	50	297	67	50	87	46	50	215	32	50	43	66	50	139	5	50	189	43	50	111	62	50
