type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	973	1518208684238	0	1	1	0	1	1	0	8	13	4	50	1	80	50	79	93	50	145	70	50	243	59	50	78	90	50	332	12	50	206	20	50	321	31	50	250	5	50	350	12	50	155	20	50	85	87	50	243	59	50	259	7	50	258	54	50	233	28	50	212	63	50	13	4	50	1	80	50	79	93	50	145	70	50	243	59	50	78	90	50	332	12	50	206	20	50	321	31	50	250	5	50	350	12	50	155	20	50	85	87	50	243	59	50	259	7	50	258	54	50	233	28	50	212	63	50
StateGrid	973	1518208684239	1	1	1	0	1	1	0	7	79	39	50	155	43	50	232	84	50	174	25	50	347	90	50	149	6	50	12	80	50	200	18	50	71	5	50	79	39	50	153	86	50	245	14	50	36	2	50	3	58	50	13	19	50	246	15	50	152	39	50	71	5	50	79	39	50	155	43	50	232	84	50	174	25	50	347	90	50	149	6	50	12	80	50	200	18	50	71	5	50	79	39	50	153	86	50	245	14	50	36	2	50	3	58	50	13	19	50	246	15	50	152	39	50	71	5	50
StateGrid	973	1518208684239	2	0	0	1	0	0	1	5	172	99	50	96	83	50	98	85	50	296	62	50	118	17	50	149	21	50	62	34	50	314	9	50	130	26	50	172	99	50	96	83	50	98	85	50	312	90	50	117	40	50	149	21	50	355	19	50	0	3	50	84	60	50	172	99	50	96	83	50	98	85	50	296	62	50	118	17	50	149	21	50	62	34	50	314	9	50	130	26	50	172	99	50	96	83	50	98	85	50	312	90	50	117	40	50	149	21	50	355	19	50	0	3	50	84	60	50
StateGrid	973	1518208684239	3	0	0	1	1	1	0	4	271	7	50	187	21	50	203	65	50	195	34	50	179	38	50	273	95	50	216	77	50	231	8	50	301	70	50	271	7	50	187	21	50	203	65	50	339	55	50	320	76	50	191	96	50	216	77	50	184	44	50	301	70	50	271	7	50	187	21	50	203	65	50	339	55	50	320	76	50	191	96	50	216	77	50	184	44	50	301	70	50	271	7	50	187	21	50	203	65	50	195	34	50	179	38	50	273	95	50	216	77	50	231	8	50	301	70	50
StateGrid	973	1518208684239	4	1	1	0	1	1	0	2	59	16	50	338	82	50	125	78	50	342	37	50	181	59	50	229	34	50	25	9	50	160	66	50	190	46	50	45	30	50	338	82	50	125	78	50	342	37	50	181	59	50	229	34	50	25	9	50	160	66	50	259	11	50	59	16	50	338	82	50	125	78	50	342	37	50	181	59	50	229	34	50	25	9	50	160	66	50	190	46	50	45	30	50	338	82	50	125	78	50	342	37	50	181	59	50	229	34	50	25	9	50	160	66	50	259	11	50
StateGrid	973	1518208684239	5	1	0	1	1	0	1	7	93	70	50	306	82	50	353	38	50	346	5	50	69	27	50	323	23	50	327	24	50	20	26	50	104	40	50	254	32	50	48	91	50	353	38	50	221	59	50	290	64	50	191	65	50	87	38	50	20	26	50	147	8	50	93	70	50	306	82	50	353	38	50	346	5	50	69	27	50	323	23	50	327	24	50	20	26	50	104	40	50	254	32	50	48	91	50	353	38	50	221	59	50	290	64	50	191	65	50	87	38	50	20	26	50	147	8	50
StateGrid	973	1518208684239	6	1	1	0	0	0	1	1	47	49	50	136	94	50	228	16	50	339	86	50	187	26	50	264	31	50	197	88	50	184	85	50	263	54	50	47	49	50	136	94	50	228	16	50	339	86	50	187	26	50	174	63	50	197	88	50	184	85	50	263	54	50	47	49	50	136	94	50	228	16	50	339	86	50	187	26	50	174	63	50	197	88	50	184	85	50	263	54	50	47	49	50	136	94	50	228	16	50	339	86	50	187	26	50	264	31	50	197	88	50	184	85	50	263	54	50
StateGrid	973	1518208684239	7	1	1	0	0	0	1	5	111	49	50	145	40	50	339	11	50	175	66	50	315	17	50	109	36	50	152	17	50	228	69	50	348	15	50	92	5	50	145	40	50	92	54	50	175	66	50	277	99	50	109	36	50	152	17	50	136	77	50	121	97	50	92	5	50	145	40	50	92	54	50	175	66	50	277	99	50	109	36	50	152	17	50	136	77	50	121	97	50	111	49	50	145	40	50	339	11	50	175	66	50	315	17	50	109	36	50	152	17	50	228	69	50	348	15	50
StateGrid	973	1518208684240	8	0	1	0	1	0	1	3	215	2	50	30	41	50	169	95	50	353	20	50	143	23	50	150	69	50	6	78	50	77	18	50	256	64	50	215	2	50	30	41	50	169	95	50	225	52	50	143	23	50	150	69	50	358	46	50	77	18	50	303	86	50	215	2	50	30	41	50	169	95	50	225	52	50	143	23	50	150	69	50	358	46	50	77	18	50	303	86	50	215	2	50	30	41	50	169	95	50	353	20	50	143	23	50	150	69	50	6	78	50	77	18	50	256	64	50
StateGrid	973	1518208684240	9	0	1	0	0	1	0	2	137	46	50	334	69	50	118	67	50	55	8	50	93	26	50	109	61	50	325	8	50	81	50	50	191	5	50	137	46	50	253	80	50	36	78	50	55	8	50	93	26	50	109	61	50	325	8	50	81	50	50	191	5	50	137	46	50	334	69	50	118	67	50	55	8	50	93	26	50	109	61	50	325	8	50	81	50	50	191	5	50	137	46	50	253	80	50	36	78	50	55	8	50	93	26	50	109	61	50	325	8	50	81	50	50	191	5	50
