type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	279	1520710385997	0	0	1	0	0	1	0	9	252	35	50	76	22	50	128	79	50	196	79	50	80	14	50	29	41	50	134	84	50	32	4	50	93	19	50	101	1	50	117	68	50	103	22	50	109	14	50	112	68	50	129	36	50	95	20	50	106	63	50	272	68	50	252	35	50	76	22	50	128	79	50	196	79	50	80	14	50	29	41	50	134	84	50	32	4	50	93	19	50	101	1	50	117	68	50	103	22	50	109	14	50	112	68	50	129	36	50	95	20	50	106	63	50	272	68	50
StateGrid	279	1520710385998	1	0	1	0	0	1	0	9	354	52	50	168	15	50	161	84	50	211	89	50	190	63	50	273	22	50	103	8	50	17	79	50	133	19	50	288	68	50	82	41	50	302	76	50	132	62	50	98	41	50	146	46	50	250	95	50	176	1	50	272	15	50	354	52	50	168	15	50	161	84	50	211	89	50	190	63	50	273	22	50	103	8	50	17	79	50	133	19	50	288	68	50	82	41	50	302	76	50	132	62	50	98	41	50	146	46	50	250	95	50	176	1	50	272	15	50
StateGrid	279	1520710385998	2	0	1	0	0	1	0	9	21	49	50	24	52	50	187	20	50	103	41	50	137	20	50	112	21	50	34	28	50	112	89	50	212	51	50	88	20	50	106	35	50	92	37	50	49	16	50	130	99	50	86	96	50	81	93	50	127	26	50	80	87	50	21	49	50	24	52	50	187	20	50	103	41	50	137	20	50	112	21	50	34	28	50	112	89	50	212	51	50	88	20	50	106	35	50	92	37	50	49	16	50	130	99	50	86	96	50	81	93	50	127	26	50	80	87	50
StateGrid	279	1520710385998	3	0	1	0	0	1	0	9	325	61	50	95	47	50	300	87	50	296	86	50	80	66	50	129	10	50	350	79	50	338	86	50	44	42	50	176	95	50	343	13	50	110	36	50	90	37	50	161	36	50	227	54	50	235	57	50	57	15	50	199	81	50	325	61	50	95	47	50	300	87	50	296	86	50	80	66	50	129	10	50	350	79	50	338	86	50	44	42	50	176	95	50	343	13	50	110	36	50	90	37	50	161	36	50	227	54	50	235	57	50	57	15	50	199	81	50
StateGrid	279	1520710385998	4	1	0	1	0	1	0	9	186	87	50	350	5	50	122	91	50	106	59	50	123	37	50	222	30	50	249	66	50	17	38	50	142	66	50	255	87	50	118	80	50	155	50	50	221	94	50	195	39	50	84	59	50	168	37	50	103	12	50	284	14	50	255	87	50	118	80	50	155	50	50	221	94	50	195	39	50	84	59	50	168	37	50	103	12	50	284	14	50	186	87	50	350	5	50	122	91	50	106	59	50	123	37	50	222	30	50	249	66	50	17	38	50	142	66	50
StateGrid	279	1520710385998	5	1	0	1	1	0	1	9	99	89	50	187	59	50	89	6	50	117	61	50	105	10	50	106	4	50	91	94	50	128	11	50	116	78	50	119	4	50	91	25	50	136	92	50	12	21	50	102	60	50	257	78	50	137	17	50	82	71	50	92	17	50	99	89	50	187	59	50	89	6	50	117	61	50	105	10	50	106	4	50	91	94	50	128	11	50	116	78	50	119	4	50	91	25	50	136	92	50	12	21	50	102	60	50	257	78	50	137	17	50	82	71	50	92	17	50
StateGrid	279	1520710385998	6	1	0	1	0	1	0	9	220	17	50	89	81	50	98	3	50	70	56	50	60	52	50	55	0	50	113	76	50	60	56	50	109	60	50	84	49	50	313	66	50	279	45	50	304	25	50	140	14	50	93	37	50	169	67	50	136	42	50	357	90	50	84	49	50	313	66	50	279	45	50	304	25	50	140	14	50	93	37	50	169	67	50	136	42	50	357	90	50	220	17	50	89	81	50	98	3	50	70	56	50	60	52	50	55	0	50	113	76	50	60	56	50	109	60	50
StateGrid	279	1520710385999	7	0	0	1	0	0	1	9	132	64	50	131	1	50	99	56	50	115	94	50	92	32	50	96	96	50	115	63	50	285	42	50	97	89	50	209	50	50	99	69	50	100	0	50	213	5	50	139	94	50	136	32	50	271	85	50	99	14	50	204	36	50	132	64	50	131	1	50	99	56	50	115	94	50	92	32	50	96	96	50	115	63	50	285	42	50	97	89	50	209	50	50	99	69	50	100	0	50	213	5	50	139	94	50	136	32	50	271	85	50	99	14	50	204	36	50
StateGrid	279	1520710385999	8	1	0	1	1	0	1	9	119	80	50	97	4	50	313	68	50	320	80	50	49	13	50	103	15	50	22	41	50	267	2	50	228	99	50	41	18	50	318	69	50	85	23	50	174	45	50	291	12	50	230	99	50	282	63	50	68	79	50	84	56	50	119	80	50	97	4	50	313	68	50	320	80	50	49	13	50	103	15	50	22	41	50	267	2	50	228	99	50	41	18	50	318	69	50	85	23	50	174	45	50	291	12	50	230	99	50	282	63	50	68	79	50	84	56	50
StateGrid	279	1520710385999	9	1	0	1	0	1	0	9	128	76	50	337	52	50	129	45	50	131	28	50	135	62	50	165	12	50	124	6	50	121	43	50	136	48	50	248	92	50	31	27	50	193	12	50	265	81	50	14	40	50	296	19	50	323	76	50	224	90	50	359	35	50	248	92	50	31	27	50	193	12	50	265	81	50	14	40	50	296	19	50	323	76	50	224	90	50	359	35	50	128	76	50	337	52	50	129	45	50	131	28	50	135	62	50	165	12	50	124	6	50	121	43	50	136	48	50
