type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	skewProb	colorDiffMin	colorDiffMax	condition	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	866	1520723653021	0	1	0	1	1	0	1	9	0.45	0	100	SKEWED	109	4	50	135	84	50	220	57	50	84	3	50	139	6	50	307	61	50	287	18	50	118	65	50	232	45	50	106	85	50	122	5	50	158	85	50	219	0	50	138	28	50	125	8	50	96	97	50	284	53	50	121	4	50	109	4	50	135	84	50	220	57	50	84	3	50	139	6	50	307	61	50	287	18	50	118	65	50	232	45	50	106	85	50	122	5	50	158	85	50	219	0	50	138	28	50	125	8	50	96	97	50	284	53	50	121	4	50
StateGrid	866	1520723653021	1	0	0	1	0	0	1	9	0.6	0	100	SKEWED	138	45	50	308	75	50	89	45	50	108	75	50	186	93	50	334	27	50	133	23	50	84	30	50	100	23	50	108	2	50	100	0	50	215	78	50	121	34	50	93	87	50	138	55	50	137	56	50	217	1	50	107	70	50	138	45	50	308	75	50	89	45	50	108	75	50	186	93	50	334	27	50	133	23	50	84	30	50	100	23	50	108	2	50	100	0	50	215	78	50	121	34	50	93	87	50	138	55	50	137	56	50	217	1	50	107	70	50
StateGrid	866	1520723653021	2	1	1	0	1	1	0	9	0.85	0	100	SKEWED	88	40	50	128	21	50	119	39	50	18	32	50	117	40	50	109	77	50	90	84	50	112	65	50	122	75	50	129	90	50	119	85	50	139	9	50	128	93	50	85	53	50	113	52	50	88	70	50	139	31	50	104	92	50	88	40	50	128	21	50	119	39	50	18	32	50	117	40	50	109	77	50	90	84	50	112	65	50	122	75	50	129	90	50	119	85	50	139	9	50	128	93	50	85	53	50	113	52	50	88	70	50	139	31	50	104	92	50
StateGrid	866	1520723653021	3	0	1	0	0	1	0	9	0.75	0	100	SKEWED	81	1	50	96	23	50	98	79	50	121	61	50	131	34	50	98	20	50	98	45	50	122	66	50	92	15	50	328	64	50	83	76	50	23	95	50	85	78	50	85	92	50	201	40	50	136	4	50	302	89	50	113	11	50	81	1	50	96	23	50	98	79	50	121	61	50	131	34	50	98	20	50	98	45	50	122	66	50	92	15	50	328	64	50	83	76	50	23	95	50	85	78	50	85	92	50	201	40	50	136	4	50	302	89	50	113	11	50
StateGrid	866	1520723653021	4	0	0	1	1	1	0	9	0.05	0	100	SKEWED	233	86	50	144	28	50	219	84	50	117	28	50	105	63	50	190	43	50	189	42	50	265	28	50	16	63	50	200	29	50	183	39	50	228	43	50	342	77	50	246	37	50	177	27	50	15	15	50	217	52	50	136	24	50	200	29	50	183	39	50	228	43	50	342	77	50	246	37	50	177	27	50	15	15	50	217	52	50	136	24	50	233	86	50	144	28	50	219	84	50	117	28	50	105	63	50	190	43	50	189	42	50	265	28	50	16	63	50
StateGrid	866	1520723653021	5	0	1	0	1	0	1	9	0.9	0	100	SKEWED	109	74	50	136	26	50	82	67	50	95	9	50	138	45	50	111	8	50	135	21	50	96	2	50	124	91	50	169	52	50	114	28	50	88	16	50	119	87	50	122	45	50	122	34	50	95	76	50	122	50	50	125	81	50	169	52	50	114	28	50	88	16	50	119	87	50	122	45	50	122	34	50	95	76	50	122	50	50	125	81	50	109	74	50	136	26	50	82	67	50	95	9	50	138	45	50	111	8	50	135	21	50	96	2	50	124	91	50
StateGrid	866	1520723653021	6	0	1	0	1	0	1	9	0.65	0	100	SKEWED	109	50	50	116	88	50	338	4	50	122	21	50	98	96	50	105	69	50	106	65	50	80	90	50	105	8	50	107	43	50	275	27	50	336	54	50	131	6	50	79	65	50	130	46	50	133	40	50	74	33	50	133	27	50	107	43	50	275	27	50	336	54	50	131	6	50	79	65	50	130	46	50	133	40	50	74	33	50	133	27	50	109	50	50	116	88	50	338	4	50	122	21	50	98	96	50	105	69	50	106	65	50	80	90	50	105	8	50
StateGrid	866	1520723653021	7	1	0	1	0	1	0	9	0.7	0	100	SKEWED	96	77	50	55	71	50	56	21	50	122	68	50	106	40	50	281	43	50	80	16	50	88	9	50	95	77	50	106	75	50	176	53	50	306	53	50	133	31	50	87	65	50	123	12	50	133	48	50	124	28	50	105	0	50	106	75	50	176	53	50	306	53	50	133	31	50	87	65	50	123	12	50	133	48	50	124	28	50	105	0	50	96	77	50	55	71	50	56	21	50	122	68	50	106	40	50	281	43	50	80	16	50	88	9	50	95	77	50
StateGrid	866	1520723653021	8	0	1	0	0	1	0	9	0.25	0	100	SKEWED	132	20	50	85	91	50	124	29	50	233	77	50	121	5	50	31	82	50	319	59	50	99	40	50	127	56	50	189	14	50	335	52	50	191	74	50	237	34	50	73	22	50	218	47	50	47	18	50	349	17	50	359	61	50	132	20	50	85	91	50	124	29	50	233	77	50	121	5	50	31	82	50	319	59	50	99	40	50	127	56	50	189	14	50	335	52	50	191	74	50	237	34	50	73	22	50	218	47	50	47	18	50	349	17	50	359	61	50
StateGrid	866	1520723653021	9	0	1	0	1	0	1	9	0.35	0	100	SKEWED	219	85	50	268	13	50	177	39	50	121	21	50	329	85	50	126	19	50	279	76	50	246	54	50	287	56	50	210	80	50	142	96	50	103	16	50	273	72	50	214	3	50	309	58	50	319	4	50	100	2	50	34	13	50	210	80	50	142	96	50	103	16	50	273	72	50	214	3	50	309	58	50	319	4	50	100	2	50	34	13	50	219	85	50	268	13	50	177	39	50	121	21	50	329	85	50	126	19	50	279	76	50	246	54	50	287	56	50
