eventType	gameid	time	roundNum	lClicked	mouseX	mouseY
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195718947	1	0	88	147
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195760387	2	0	123	192
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195781343	3	0	117	198
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195803232	4	1	488	195
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195822548	5	1	495	178
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195836018	6	0	120	137
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195861811	7	1	471	200
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195880639	8	0	85	182
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195901510	9	1	419	197
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195919963	10	0	86	166
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195941025	11	0	84	165
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195962409	12	0	115	161
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195984690	13	0	135	140
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511196002964	14	0	149	281
action	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511196014532	15	0	108	143
