eventType	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shapes	sObj0_Shp0_Prnt	sObj0_Shp0_PrntSide	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp0_Sides	sObj0_Shp0_Length	sObj0_Shp0_CenterX	sObj0_Shp0_CenterY	sObj0_Shp0_Pnt0_X	sObj0_Shp0_Pnt0_Y	sObj0_Shp0_Pnt1_X	sObj0_Shp0_Pnt1_Y	sObj0_Shp0_Pnt2_X	sObj0_Shp0_Pnt2_Y	sObj0_Shp0_Pnt3_X	sObj0_Shp0_Pnt3_Y	sObj0_Shp0_Pnt4_X	sObj0_Shp0_Pnt4_Y	sObj0_Shp0_Pnt5_X	sObj0_Shp0_Pnt5_Y	sObj0_Shp1_Prnt	sObj0_Shp1_PrntSide	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp1_Sides	sObj0_Shp1_Length	sObj0_Shp1_CenterX	sObj0_Shp1_CenterY	sObj0_Shp1_Pnt0_X	sObj0_Shp1_Pnt0_Y	sObj0_Shp1_Pnt1_X	sObj0_Shp1_Pnt1_Y	sObj0_Shp1_Pnt2_X	sObj0_Shp1_Pnt2_Y	sObj0_Shp1_Pnt3_X	sObj0_Shp1_Pnt3_Y	sObj0_Shp1_Pnt4_X	sObj0_Shp1_Pnt4_Y	sObj0_Shp1_Pnt5_X	sObj0_Shp1_Pnt5_Y	sObj0_Shp2_Prnt	sObj0_Shp2_PrntSide	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp2_Sides	sObj0_Shp2_Length	sObj0_Shp2_CenterX	sObj0_Shp2_CenterY	sObj0_Shp2_Pnt0_X	sObj0_Shp2_Pnt0_Y	sObj0_Shp2_Pnt1_X	sObj0_Shp2_Pnt1_Y	sObj0_Shp2_Pnt2_X	sObj0_Shp2_Pnt2_Y	sObj0_Shp2_Pnt3_X	sObj0_Shp2_Pnt3_Y	sObj0_Shp2_Pnt4_X	sObj0_Shp2_Pnt4_Y	sObj0_Shp2_Pnt5_X	sObj0_Shp2_Pnt5_Y	sObj0_Shp3_Prnt	sObj0_Shp3_PrntSide	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp3_Sides	sObj0_Shp3_Length	sObj0_Shp3_CenterX	sObj0_Shp3_CenterY	sObj0_Shp3_Pnt0_X	sObj0_Shp3_Pnt0_Y	sObj0_Shp3_Pnt1_X	sObj0_Shp3_Pnt1_Y	sObj0_Shp3_Pnt2_X	sObj0_Shp3_Pnt2_Y	sObj0_Shp3_Pnt3_X	sObj0_Shp3_Pnt3_Y	sObj0_Shp3_Pnt4_X	sObj0_Shp3_Pnt4_Y	sObj0_Shp3_Pnt5_X	sObj0_Shp3_Pnt5_Y	sObj1_Shapes	sObj1_Shp0_Prnt	sObj1_Shp0_PrntSide	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp0_Sides	sObj1_Shp0_Length	sObj1_Shp0_CenterX	sObj1_Shp0_CenterY	sObj1_Shp0_Pnt0_X	sObj1_Shp0_Pnt0_Y	sObj1_Shp0_Pnt1_X	sObj1_Shp0_Pnt1_Y	sObj1_Shp0_Pnt2_X	sObj1_Shp0_Pnt2_Y	sObj1_Shp0_Pnt3_X	sObj1_Shp0_Pnt3_Y	sObj1_Shp0_Pnt4_X	sObj1_Shp0_Pnt4_Y	sObj1_Shp0_Pnt5_X	sObj1_Shp0_Pnt5_Y	sObj1_Shp1_Prnt	sObj1_Shp1_PrntSide	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp1_Sides	sObj1_Shp1_Length	sObj1_Shp1_CenterX	sObj1_Shp1_CenterY	sObj1_Shp1_Pnt0_X	sObj1_Shp1_Pnt0_Y	sObj1_Shp1_Pnt1_X	sObj1_Shp1_Pnt1_Y	sObj1_Shp1_Pnt2_X	sObj1_Shp1_Pnt2_Y	sObj1_Shp1_Pnt3_X	sObj1_Shp1_Pnt3_Y	sObj1_Shp1_Pnt4_X	sObj1_Shp1_Pnt4_Y	sObj1_Shp1_Pnt5_X	sObj1_Shp1_Pnt5_Y	sObj1_Shp2_Prnt	sObj1_Shp2_PrntSide	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp2_Sides	sObj1_Shp2_Length	sObj1_Shp2_CenterX	sObj1_Shp2_CenterY	sObj1_Shp2_Pnt0_X	sObj1_Shp2_Pnt0_Y	sObj1_Shp2_Pnt1_X	sObj1_Shp2_Pnt1_Y	sObj1_Shp2_Pnt2_X	sObj1_Shp2_Pnt2_Y	sObj1_Shp2_Pnt3_X	sObj1_Shp2_Pnt3_Y	sObj1_Shp2_Pnt4_X	sObj1_Shp2_Pnt4_Y	sObj1_Shp2_Pnt5_X	sObj1_Shp2_Pnt5_Y	sObj1_Shp3_Prnt	sObj1_Shp3_PrntSide	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp3_Sides	sObj1_Shp3_Length	sObj1_Shp3_CenterX	sObj1_Shp3_CenterY	sObj1_Shp3_Pnt0_X	sObj1_Shp3_Pnt0_Y	sObj1_Shp3_Pnt1_X	sObj1_Shp3_Pnt1_Y	sObj1_Shp3_Pnt2_X	sObj1_Shp3_Pnt2_Y	sObj1_Shp3_Pnt3_X	sObj1_Shp3_Pnt3_Y	sObj1_Shp3_Pnt4_X	sObj1_Shp3_Pnt4_Y	sObj1_Shp3_Pnt5_X	sObj1_Shp3_Pnt5_Y	lObj0_Shapes	lObj0_Shp0_Prnt	lObj0_Shp0_PrntSide	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp0_Sides	lObj0_Shp0_Length	lObj0_Shp0_CenterX	lObj0_Shp0_CenterY	lObj0_Shp0_Pnt0_X	lObj0_Shp0_Pnt0_Y	lObj0_Shp0_Pnt1_X	lObj0_Shp0_Pnt1_Y	lObj0_Shp0_Pnt2_X	lObj0_Shp0_Pnt2_Y	lObj0_Shp0_Pnt3_X	lObj0_Shp0_Pnt3_Y	lObj0_Shp0_Pnt4_X	lObj0_Shp0_Pnt4_Y	lObj0_Shp0_Pnt5_X	lObj0_Shp0_Pnt5_Y	lObj0_Shp1_Prnt	lObj0_Shp1_PrntSide	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp1_Sides	lObj0_Shp1_Length	lObj0_Shp1_CenterX	lObj0_Shp1_CenterY	lObj0_Shp1_Pnt0_X	lObj0_Shp1_Pnt0_Y	lObj0_Shp1_Pnt1_X	lObj0_Shp1_Pnt1_Y	lObj0_Shp1_Pnt2_X	lObj0_Shp1_Pnt2_Y	lObj0_Shp1_Pnt3_X	lObj0_Shp1_Pnt3_Y	lObj0_Shp1_Pnt4_X	lObj0_Shp1_Pnt4_Y	lObj0_Shp1_Pnt5_X	lObj0_Shp1_Pnt5_Y	lObj0_Shp2_Prnt	lObj0_Shp2_PrntSide	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp2_Sides	lObj0_Shp2_Length	lObj0_Shp2_CenterX	lObj0_Shp2_CenterY	lObj0_Shp2_Pnt0_X	lObj0_Shp2_Pnt0_Y	lObj0_Shp2_Pnt1_X	lObj0_Shp2_Pnt1_Y	lObj0_Shp2_Pnt2_X	lObj0_Shp2_Pnt2_Y	lObj0_Shp2_Pnt3_X	lObj0_Shp2_Pnt3_Y	lObj0_Shp2_Pnt4_X	lObj0_Shp2_Pnt4_Y	lObj0_Shp2_Pnt5_X	lObj0_Shp2_Pnt5_Y	lObj0_Shp3_Prnt	lObj0_Shp3_PrntSide	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp3_Sides	lObj0_Shp3_Length	lObj0_Shp3_CenterX	lObj0_Shp3_CenterY	lObj0_Shp3_Pnt0_X	lObj0_Shp3_Pnt0_Y	lObj0_Shp3_Pnt1_X	lObj0_Shp3_Pnt1_Y	lObj0_Shp3_Pnt2_X	lObj0_Shp3_Pnt2_Y	lObj0_Shp3_Pnt3_X	lObj0_Shp3_Pnt3_Y	lObj0_Shp3_Pnt4_X	lObj0_Shp3_Pnt4_Y	lObj0_Shp3_Pnt5_X	lObj0_Shp3_Pnt5_Y	lObj1_Shapes	lObj1_Shp0_Prnt	lObj1_Shp0_PrntSide	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp0_Sides	lObj1_Shp0_Length	lObj1_Shp0_CenterX	lObj1_Shp0_CenterY	lObj1_Shp0_Pnt0_X	lObj1_Shp0_Pnt0_Y	lObj1_Shp0_Pnt1_X	lObj1_Shp0_Pnt1_Y	lObj1_Shp0_Pnt2_X	lObj1_Shp0_Pnt2_Y	lObj1_Shp0_Pnt3_X	lObj1_Shp0_Pnt3_Y	lObj1_Shp0_Pnt4_X	lObj1_Shp0_Pnt4_Y	lObj1_Shp0_Pnt5_X	lObj1_Shp0_Pnt5_Y	lObj1_Shp1_Prnt	lObj1_Shp1_PrntSide	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp1_Sides	lObj1_Shp1_Length	lObj1_Shp1_CenterX	lObj1_Shp1_CenterY	lObj1_Shp1_Pnt0_X	lObj1_Shp1_Pnt0_Y	lObj1_Shp1_Pnt1_X	lObj1_Shp1_Pnt1_Y	lObj1_Shp1_Pnt2_X	lObj1_Shp1_Pnt2_Y	lObj1_Shp1_Pnt3_X	lObj1_Shp1_Pnt3_Y	lObj1_Shp1_Pnt4_X	lObj1_Shp1_Pnt4_Y	lObj1_Shp1_Pnt5_X	lObj1_Shp1_Pnt5_Y	lObj1_Shp2_Prnt	lObj1_Shp2_PrntSide	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp2_Sides	lObj1_Shp2_Length	lObj1_Shp2_CenterX	lObj1_Shp2_CenterY	lObj1_Shp2_Pnt0_X	lObj1_Shp2_Pnt0_Y	lObj1_Shp2_Pnt1_X	lObj1_Shp2_Pnt1_Y	lObj1_Shp2_Pnt2_X	lObj1_Shp2_Pnt2_Y	lObj1_Shp2_Pnt3_X	lObj1_Shp2_Pnt3_Y	lObj1_Shp2_Pnt4_X	lObj1_Shp2_Pnt4_Y	lObj1_Shp2_Pnt5_X	lObj1_Shp2_Pnt5_Y	lObj1_Shp3_Prnt	lObj1_Shp3_PrntSide	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp3_Sides	lObj1_Shp3_Length	lObj1_Shp3_CenterX	lObj1_Shp3_CenterY	lObj1_Shp3_Pnt0_X	lObj1_Shp3_Pnt0_Y	lObj1_Shp3_Pnt1_X	lObj1_Shp3_Pnt1_Y	lObj1_Shp3_Pnt2_X	lObj1_Shp3_Pnt2_Y	lObj1_Shp3_Pnt3_X	lObj1_Shp3_Pnt3_Y	lObj1_Shp3_Pnt4_X	lObj1_Shp3_Pnt4_Y	lObj1_Shp3_Pnt5_X	lObj1_Shp3_Pnt5_Y
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198868145	1	1	0	1	1	0	1	7	3		0	5	94	50	4	40	130	220	110	200	150	200	150	240	110	240	0	0	0	0	0	0	35	50	50	4	40	130	180	110	200	150	200	150	160	110	160	0	0	0	0	1	1	32	53	50	4	40	170	180	150	200	150	160	190	160	190	200	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	183	44	50	4	40	150	131	130	111	170	111	170	151	130	151	0	0	0	0	0	2	75	11	50	6	40	150	185	170	151	130	151	110	185	130	220	170	220	190	185	1	3	165	23	50	6	40	150	255	130	220	170	220	190	255	170	289	130	289	110	255	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	5	94	50	4	40	130	220	110	200	150	200	150	240	110	240	0	0	0	0	0	0	35	50	50	4	40	130	180	110	200	150	200	150	160	110	160	0	0	0	0	1	1	32	53	50	4	40	170	180	150	200	150	160	190	160	190	200	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	183	44	50	4	40	150	131	130	111	170	111	170	151	130	151	0	0	0	0	0	2	75	11	50	6	40	150	185	170	151	130	151	110	185	130	220	170	220	190	185	1	3	165	23	50	6	40	150	255	130	220	170	220	190	255	170	289	130	289	110	255	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198883545	2	1	1	0	1	1	0	6	3		0	108	88	50	4	40	175	225	155	205	195	205	195	245	155	245	0	0	0	0	0	3	28	83	50	5	40	127	225	155	245	155	205	117	192	93	225	117	257	0	0	0	0	31	40	50	5	40	175	177	155	205	195	205	207	167	175	143	142	167	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	274	68	50	4	40	130	217	110	197	150	197	150	237	110	237	0	0	0	0	0	1	308	70	50	4	40	170	217	150	197	150	237	190	237	190	197	0	0	0	0	0	0	71	26	50	3	40	130	186	110	197	150	197	130	163	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	108	88	50	4	40	175	225	155	205	195	205	195	245	155	245	0	0	0	0	0	3	28	83	50	5	40	127	225	155	245	155	205	117	192	93	225	117	257	0	0	0	0	31	40	50	5	40	175	177	155	205	195	205	207	167	175	143	142	167	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	274	68	50	4	40	130	217	110	197	150	197	150	237	110	237	0	0	0	0	0	1	308	70	50	4	40	170	217	150	197	150	237	190	237	190	197	0	0	0	0	0	0	71	26	50	3	40	130	186	110	197	150	197	130	163	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198897615	3	1	0	1	0	1	0	2	2		0	354	63	50	3	40	172	179	152	168	192	168	172	202	0	0	0	0	0	0	0	2	56	75	50	5	40	138	199	172	202	152	168	113	176	108	216	145	232	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	57	3	50	3	40	128	179	108	168	148	168	128	202	0	0	0	0	0	0	0	1	56	75	50	5	40	162	199	148	168	128	202	155	232	192	216	187	176	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	57	3	50	3	40	128	179	108	168	148	168	128	202	0	0	0	0	0	0	0	1	56	75	50	5	40	162	199	148	168	128	202	155	232	192	216	187	176	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	354	63	50	3	40	172	179	152	168	192	168	172	202	0	0	0	0	0	0	0	2	56	75	50	5	40	138	199	172	202	152	168	113	176	108	216	145	232	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198913169	4	0	0	1	1	1	0	1	1		0	228	19	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	228	19	50	6	40	150	200	130	165	170	165	190	200	170	235	130	235	110	200	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	228	19	50	6	40	150	200	130	165	170	165	190	200	170	235	130	235	110	200	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	228	19	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198924620	5	0	1	0	0	1	0	1	1		0	199	44	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	126	86	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	199	44	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	126	86	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198937677	6	1	1	0	1	1	0	2	2		0	232	50	50	3	40	150	225	130	213	170	213	150	248	0	0	0	0	0	0	0	0	61	85	50	5	40	150	186	130	213	170	213	182	175	150	152	118	175	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	23	94	50	3	40	150	225	130	213	170	213	150	248	0	0	0	0	0	0	0	0	160	7	50	5	40	150	186	130	213	170	213	182	175	150	152	118	175	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	232	50	50	3	40	150	225	130	213	170	213	150	248	0	0	0	0	0	0	0	0	61	85	50	5	40	150	186	130	213	170	213	182	175	150	152	118	175	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	23	94	50	3	40	150	225	130	213	170	213	150	248	0	0	0	0	0	0	0	0	160	7	50	5	40	150	186	130	213	170	213	182	175	150	152	118	175	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198952086	7	1	0	1	1	0	1	1	4		0	267	96	50	5	40	169	244	149	216	189	216	201	254	169	278	137	254	0	0	0	0	288	14	50	5	40	169	189	149	216	189	216	201	178	169	155	137	178	0	0	1	4	179	55	50	4	40	124	203	137	178	149	216	111	229	99	190	0	0	0	0	1	3	144	11	50	4	40	141	150	169	155	137	178	113	146	146	122	0	0	0	0	4		0	267	96	50	5	40	169	244	149	216	189	216	201	254	169	278	137	254	0	0	0	0	351	69	50	5	40	169	189	149	216	189	216	201	178	169	155	137	178	0	0	1	4	179	55	50	4	40	124	203	137	178	149	216	111	229	99	190	0	0	0	0	1	3	144	11	50	4	40	141	150	169	155	137	178	113	146	146	122	0	0	0	0	4		0	267	96	50	5	40	169	244	149	216	189	216	201	254	169	278	137	254	0	0	0	0	288	14	50	5	40	169	189	149	216	189	216	201	178	169	155	137	178	0	0	1	4	179	55	50	4	40	124	203	137	178	149	216	111	229	99	190	0	0	0	0	1	3	144	11	50	4	40	141	150	169	155	137	178	113	146	146	122	0	0	0	0	4		0	267	96	50	5	40	169	244	149	216	189	216	201	254	169	278	137	254	0	0	0	0	351	69	50	5	40	169	189	149	216	189	216	201	178	169	155	137	178	0	0	1	4	179	55	50	4	40	124	203	137	178	149	216	111	229	99	190	0	0	0	0	1	3	144	11	50	4	40	141	150	169	155	137	178	113	146	146	122	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198959165	8	1	0	1	1	0	1	2	1		0	201	58	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	136	50	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	201	58	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	136	50	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198976125	9	1	1	0	1	1	0	1	1		0	345	14	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	22	14	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	345	14	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	22	14	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198986783	10	0	1	0	1	0	1	2	1		0	15	11	50	6	40	150	200	130	165	170	165	190	200	170	235	130	235	110	200	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	118	50	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	118	50	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	15	11	50	6	40	150	200	130	165	170	165	190	200	170	235	130	235	110	200	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
