eventType	gameid	time	roundNum	sender	contents
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195692711	1	speaker	the is all polygons with a pink square on the bottom left. From left to right the polygons are green, teal , and light teal, no triangles
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195739093	2	listener	you dont have to tell me what the entire shape looks like, just the most glaring thing
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195754915	2	speaker	ok, no triangles, square in center
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195773459	3	speaker	five sided
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195800087	4	speaker	purple square, brown square
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195819258	5	speaker	squares, 
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195834174	6	speaker	all purple
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195858903	7	speaker	symetrical
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195874100	8	speaker	no squares
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195899589	9	speaker	6 sided
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195915988	10	speaker	pentagon
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195938166	11	speaker	green and red triangles
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195958638	12	speaker	large pentagon in middle
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511195980974	13	speaker	blue square, red triangle
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511196001365	14	speaker	brown square on left side
utterance	5304-8f7cc31a-caf5-4603-9c2e-b84c64db51ab	1511196012264	15	speaker	blue 
