eventType	gameid	time	roundNum	sender	contents
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198864846	1	speaker	it's the pentagon
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198879381	2	speaker	it's the one with squares
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198895556	3	speaker	it's the one with the gray triangle
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198909224	4	speaker	it'st he one with the upsidedown pentagon
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198922881	5	speaker	blue pentagon
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198934953	6	speaker	orange triangle
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198948983	7	speaker	pink pentagon
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198957325	8	speaker	square
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198969849	9	speaker	darker shape
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198984889	10	speaker	gray shape
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198997732	11	speaker	the one with the most colors
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199009990	12	speaker	stacked squares
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199026168	13	speaker	stacked shape going up
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199036361	14	speaker	triangle
utterance	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199047220	15	speaker	brighter shape
